text,intent
my sister hasbeen located safely,family_reunification_status
earthquake preparedness tips please pls,preparedness_tips_query
how many fatershocks are expected,aftershock_information_query
bridge collapsed near Gorkha,road_blockage_report
woh made you,fallback_unclear
are you a real person,fallback_unclear
my grandmother has eben located safely,family_reunification_status
medical help needed urgently now,medical_emergency_request
need shelter for myy family,shelter_request
road blocked by landslide near Lalitpur asap,road_blockage_report
which open area is saf eto gather,safe_location_query
cooll thanks,goodbye_thanks
cannot reach Jajarkot road is closed,road_blockage_report
give me next steps please???,status_check_general
help requuired,sos_help_request
what's the weatherl ike,fallback_unclear
electricity is out across the neighborhood urgent pls,power_outage_report
building ollapsed in Bhaktapur,building_collapse_report
test,fallback_unclear
what is th eevacuation route,evacuation_guidance_query
small firein the kitchen,fire_incident_report
reunited with my brothe rnow,family_reunification_status
yo help,greeting
nepal red cross helpline nummber,emergency_contact_request
my brother is stuck under the roof now,trapped_debris_report
how to prepare kids for earthquake drills,preparedness_tips_query
power outage in Lalitpur,power_outage_report
greetinngs,greeting
first aid for a broken arm,first_aid_query
need ambulance at Gorkha now,medical_emergency_request
where is the designnated safe zone in Kathmandu,safe_location_query
can you sing a song urgent pls,fallback_unclear
need tnts for the night,shelter_request
my fathe fell and hurt back,injury_report
best practices for earthquake preparedness at home,preparedness_tips_query
anyonethere help,sos_help_request
my mother has been located safely,family_reunification_status
safe place nearr me,safe_location_query
aftershock warning for Kathmandu,aftershock_information_query
themain road is blocked,road_blockage_report
shoul we evacuate now,evacuation_guidance_query
reunited with my mtoher now,family_reunification_status
123456,fallback_unclear
tell me what to do immedaitely,status_check_general
the house is shaking badly,earthquake_occurring_report
roof caved in during the quake,building_collapse_report
cannot reach Kathmandu road is closed,road_blockage_report
no food since yesterday,food_water_request
my grandmother needs ambulance urgently,medical_emergency_request
searching for my sister in Kathmandu!!!,family_member_missing
evacuation plan for Pokhara,evacuation_guidance_query
my mother is stuckunder the roof,trapped_debris_report
any relief camp nearby,shelter_request
thanks a lot,goodbye_thanks
no house to stay need shelterurgently,shelter_request
nearest open ground ofr evacuation,safe_location_query
need baby formula and water,food_water_request
aftershock warning for Pokhara,aftershock_information_query
my grandmother having chest pain,medical_emergency_request
what hsould be in an emergency kit,preparedness_tips_query
we need help,sos_help_request
my grandfather is stuck under the roof,trapped_debris_report
howto make my house earthquake safe,preparedness_tips_query
my grandmother needs ambulnce urgently,medical_emergency_request
my father phone not reachable ince quake,family_member_missing
hurt my leg during earthquake asap,injury_report
hi bot,greeting
searchingfor my brother in Lalitpur,family_member_missing
where is the nearest relief camp,shelter_request
tentcamp location needed,shelter_request
help,sos_help_request
electricity is out across the neighborhood,power_outage_report
severe bleedingneed medic,medical_emergency_request
evacuatoin plan for Pokhara,evacuation_guidance_query
how to stop bleeding,first_aid_query
my mother collapsed and not waking up,medical_emergency_request
is this ane arthquake,earthquake_occurring_report
earthquake hit Gorkha 5 minutes ago,earthquake_occurring_report
is it safe to stay in this house,building_damage_check
safe place kaha xa near Bhaktapur,safe_location_query
power lines down in Gorka,power_outage_report
thanks for the hhelp,goodbye_thanks
earthquake inLalitpur,earthquake_occurring_report
no house to stay need shelter urgently,shelter_request
my grandmother collapsed and no waking up,medical_emergency_request
shelter needed for my brother and kids pls,shelter_request
how to help chokingg person,first_aid_query
need ration for my mother,food_water_request
hey there now,greeting
steps to evacuate the buillding,evacuation_guidance_query
safe place kaha xa near Lalitpur pls,safe_location_query
our house collappsed completely,building_collapse_report
massive shaking right now,earthquake_occurring_report
power outage in Gorkha,power_outage_report
123456 pls,fallback_unclear
building collapsed in Lalitpur,building_collapse_report
cannot reach Jajarkot roadis closed,road_blockage_report
gas leak please advise,gas_leak_report
help ow,sos_help_request
fire spreading fast in Kathmandu!!!,fire_incident_report
buuilding tilted slightly is it dangerous,building_damage_check
my grandmotheris unconscious,medical_emergency_request
thankks,goodbye_thanks
road blocked by landslide near Jajarkot,road_blockage_report
reunited with my mother now,family_reunification_status
"thankyou, that helped",goodbye_thanks
cut on my leg bleeding now,injury_report
heart attack symptoms need doctor,medical_emergency_request
what should i do right now,status_check_general
much aappreciated,goodbye_thanks
how to stoop bleeding,first_aid_query
how do i know if my building is safe,building_damage_check
we are stuck inside walls collapsed,trapped_debris_report
building on fire near Kathmandu,fire_incident_report
fire spreadng fast in Jajarkot,fire_incident_report
my grandfathe rdid not come home yet,family_member_missing
small fire in the kitchen,fire_incident_report
hoow to help someone who fainted,first_aid_query
ok bye,goodbye_thanks
apartment block collapsed nearby,building_collapse_report
my motheris stuck under the roof,trapped_debris_report
iddk,fallback_unclear
trapped need rescueteam,trapped_debris_report
how to prepare kids foor earthquake drills,preparedness_tips_query
fire spreading fast in BBhaktapur,fire_incident_report
strong gas smell in the building now,gas_leak_report
aftershock warinng for Lalitpur,aftershock_information_query
help ls,sos_help_request
fire broke out after the earthquake,fire_incident_report
huh,fallback_unclear
water supply cut off need water,food_water_request
my father needs ambulannce urgently,medical_emergency_request
building on fire near Jajarkot,fire_incident_report
power lines down in Laliitpur,power_outage_report
i need help now plz,sos_help_request
how to plana family emergency meeting point,preparedness_tips_query
there is afire in Bhaktapur,fire_incident_report
building on fire near Lalitpur,fire_incident_report
reunitedwith my mother now,family_reunification_status
fire broke out afterthe earthquake,fire_incident_report
road damaged after eartqhuake,road_blockage_report
cannot reach Lalitpur road is closed,road_blockage_report
can i go back insidde my house now,building_damage_check
gas leak near oGrkha,gas_leak_report
where can we take shelter safely,safe_location_query
hmmm,fallback_unclear
anyone there help,sos_help_request
there are cracks in the wall,building_damage_check
random text here!!!,fallback_unclear
thanks thats' all,goodbye_thanks
power lines down in Jjaarkot,power_outage_report
entire uilding came down in Lalitpur,building_collapse_report
can you sing a song,fallback_unclear
my father having chestpain,medical_emergency_request
where is the designated safe zone in Gorkha,safe_location_query
evacuation plan for Lalitpur,evacuation_guidance_query
someboy help,sos_help_request
power outagein Gorkha,power_outage_report
someone fainted need medical help???,medical_emergency_request
safe place kaha x anear Kathmandu,safe_location_query
my father having chest pain,medical_emergency_request
what actions should i take now,status_check_general
guide me on what to do,status_check_general
greetings,greeting
evacuation plan for Lalitpur urgent pls,evacuation_guidance_query
medicalemergency please help,medical_emergency_request
where should i go for safety,safe_location_query
help help,sos_help_request
searching for my granfdather in Bhaktapur,family_member_missing
highway blockeddue to debris,road_blockage_report
should iexpect more tremors tonight,aftershock_information_query
gas laek near Pokhara,gas_leak_report
kitchen caught fire during quake,fire_incident_report
"trapped, please send rescue",trapped_debris_report
thanksbro,goodbye_thanks
thank you,goodbye_thanks
need ration for my sister plz,food_water_request
earthquake hit Kathmandu justnow,earthquake_occurring_report
stuck can't get out,trapped_debris_report
hllp me,sos_help_request
nearest safe assembly point,safe_location_query
need help,sos_help_request
cylinderleaking gas,gas_leak_report
have not heard from my mother since morning,family_member_missing
shelter needed for my fahter and kids,shelter_request
somebody help,sos_help_request
gr8 thanks,goodbye_thanks
my mother has been located safely!!!,family_reunification_status
fire spreading fast in Jajarkot,fire_incident_report
no electricity since the earhquake,power_outage_report
there are cracks in thewall,building_damage_check
lost contact with my brother,family_member_missing
safe place kaha xa near Lalitpur help,safe_location_query
need rattion for my mother,food_water_request
need tents for the night,shelter_request
entire building came down in Bhaktapur,building_collapse_report
searching for my grandfather iin Lalitpur,family_member_missing
my brother has been located safely help,family_reunification_status
what ccan you do,fallback_unclear
gas leak nearBhaktapur,gas_leak_report
missing eprson report for my mother,family_member_missing
huuh,fallback_unclear
there is a fire in Lalitpur asap,fire_incident_report
my grandmother has a deep wonud,injury_report
aftershockupdate please,aftershock_information_query
hello,greeting
my sister has been located safely,family_reunification_status
namaste now,greeting
fire spreading fast in Gorkha,fire_incident_report
earthquake hit Kathmandu just now,earthquake_occurring_report
hi bot help,greeting
any reliefc amp nearby,shelter_request
foudn my family member safe,family_reunification_status
my sister collapsed adn not waking up,medical_emergency_request
road damaged after earthquake,road_blockage_report
earthquake just occurred 5 minutes ago,earthquake_occurring_report
evacuation plan for Bhaktapur,evacuation_guidance_query
hey QSAFE,greeting
road crackd cannot pass,road_blockage_report
hi bot plz,greeting
found my grandmother at the relief camp,family_reunification_status
erathquake,earthquake_occurring_report
what to do after an earthquake pls,status_check_general
thanks a lot plz,goodbye_thanks
therre is a fire in Kathmandu,fire_incident_report
tourist poilce number please,emergency_contact_request
where is the designated safe zone in Kathmandu,safe_location_query
i dont know wha tto do,status_check_general
how to help choking person,first_aid_query
food distribution point nearby,food_water_request
gas pipe broke during qukae,gas_leak_report
safe place kaha xa near Lalitpur,safe_location_query
cannot find my brother after the quake,family_member_missing
my father is trapped underdebris,trapped_debris_report
how do i know f my building is safe,building_damage_check
found my brother at the relief cap,family_reunification_status
no electricity since theearthquake,power_outage_report
road blocked by landslide near Bhhaktapur,road_blockage_report
school building partially collapsed,building_collapse_report
my sisterhas a deep wound,injury_report
trapped in the collapsed house,trapped_debris_report
earthquake hti Kathmandu just now,earthquake_occurring_report
bye take care,goodbye_thanks
heelp help,sos_help_request
building collapsed inPokhara,building_collapse_report
what todo for a sprained ankle,first_aid_query
child helpline number???,emergency_contact_request
gas leak near Pokhaa,gas_leak_report
fire spreading fast in Kathmandu,fire_incident_report
need ration for myb rother,food_water_request
tanks,goodbye_thanks
police emergency number please!!!,emergency_contact_request
first ai for a broken arm,first_aid_query
steps to evacuate the building pls,evacuation_guidance_query
earthquake in Bhaktapur,earthquake_occurring_report
cut on my leg bleeding,injury_report
there is a fire in Kathmandu,fire_incident_report
any relief cmap nearby,shelter_request
power outage in Bhaktapur,power_outage_report
safe place kaha xa near Kathmandu,safe_location_query
my grandfather is injured badly,injury_report
safe evacuation point near me,safe_location_query
bridge collapsed near Lalitpur asap,road_blockage_report
what steps should i follow now asap,status_check_general
"can't move, trapepd under concrete",trapped_debris_report
displaced need a place to stay,shelter_request
burned myhand slightly,injury_report
earthquakein Gorkha,earthquake_occurring_report
no clean water available here???,food_water_request
smell of gas after eaarthquake,gas_leak_report
help me pls im scared,sos_help_request
have not heard from my fathersince morning,family_member_missing
cylinderl eaking gas,gas_leak_report
firsta id for burns,first_aid_query
what should i do now,status_check_general
sfae place near me,safe_location_query
gas leak near Llaitpur,gas_leak_report
fire broke out aftert he earthquake,fire_incident_report
please help me,sos_help_request
help me right now,sos_help_request
my grandfather has been lcoated safely,family_reunification_status
want to update status that my brother is safe asap,family_reunification_status
hello madam!!!,greeting
my sister iis unconscious,medical_emergency_request
brokenarm need help,injury_report
aftershock warning for Lalitpur,aftershock_information_query
found my sister at the relief camp,family_reunification_status
my garndfather has been located safely,family_reunification_status
shelter needd for my sister and kids,shelter_request
entire building came down i nGorkha,building_collapse_report
hlo,greeting
hello madam,greeting
my daughter is trapped under debris,trapped_debris_report
found my father at the relief camp pls,family_reunification_status
found my motherat the relief camp,family_reunification_status
my grandfatther did not come home yet,family_member_missing
"structure collapsed, peopl may be inside",building_collapse_report
gas leak in the house urgent pls,gas_leak_report
where is the designated safe zone in Lalitpur,safe_location_query
fire alertnear market,fire_incident_report
help!!,sos_help_request
missing person report for my mother,family_member_missing
my daughter is sttuck under the roof,trapped_debris_report
hart attack symptoms need doctor,medical_emergency_request
water supply cut offneed water,food_water_request
my son is stuck underthe roof,trapped_debris_report
randoom text here,fallback_unclear
is it saef to stay in this house,building_damage_check
good morning,greeting
where is the designated safe zonein Pokhara,safe_location_query
building on fire near Pokhara,fire_incident_report
my grandmother fell and hur tback,injury_report
power outage in Kathmandu,power_outage_report
is my apartmnt structurally safe now,building_damage_check
gas leak bhayo,gas_leak_report
no foodd since yesterday,food_water_request
head njury from falling debris,injury_report
what should be in an emergency kit,preparedness_tips_query
earthqauke alert,earthquake_occurring_report
police emergency number please,emergency_contact_request
adf,fallback_unclear
medical emergency please help,medical_emergency_request
cannot find my sn after the quake,family_member_missing
fire brigade contact number,emergency_contact_request
how to secure furniture from falling,preparedness_tips_query
need shelter for my family,shelter_request
heart attacksymptoms need doctor,medical_emergency_request
want to update status that my mother is safe,family_reunification_status
is anothr earthquake coming,aftershock_information_query
need ambulace at Lalitpur,medical_emergency_request
help required,sos_help_request
smoke coming from the house now,fire_incident_report
burned my hand slightly,injury_report
what should i do right now now,status_check_general
the ground i sshaking,earthquake_occurring_report
building tlited slightly is it dangerous,building_damage_check
good mornnig,greeting
my mother has adeep wound,injury_report
ran out of food and water,food_water_request
lost contact with my brother plz,family_member_missing
hi???,greeting
kitchen gas leaking badly,gas_leak_report
somebody elp,sos_help_request
power uotage in Pokhara,power_outage_report
aftershock warning for Bhaktapur help,aftershock_information_query
thanks,goodbye_thanks
my father is uconscious,medical_emergency_request
bridge collapsed near Gorkha!!!,road_blockage_report
where is the designated safe zone in Gorkha help,safe_location_query
aftershock warning forBhaktapur,aftershock_information_query
entire building came down in Kathmandu,building_collapse_report
my sister hs been located safely,family_reunification_status
i dont know what to do,status_check_general
"wee are stuck inside, walls collapsed",trapped_debris_report
how ot help someone who fainted,first_aid_query
strong gas smell ni the building,gas_leak_report
landslide blocking the only rooad out,road_blockage_report
missing person report for my brother,family_member_missing
everything is shaking,earthquake_occurring_report
bridge collapsed near Lalitpur plz,road_blockage_report
my mother is trappe under debris,trapped_debris_report
entire building came down in Gorkha,building_collapse_report
whee should i go for safety,safe_location_query
how to treat a cut wound!!!,first_aid_query
cannot finnd my mother after the quake,family_member_missing
havenot heard from my grandfather since morning,family_member_missing
searching for my father in Kathmandu,family_member_missing
gas stove caused frie,fire_incident_report
road blocked by landslide near Pokhara,road_blockage_report
food distribuution point nearby,food_water_request
landslide blocking the only road out,road_blockage_report
gas leak nearKathmandu,gas_leak_report
help e,sos_help_request
pleaes help me,sos_help_request
"structure collapsed, people may be inside",building_collapse_report
building collapsed in Kathandu,building_collapse_report
entire building came down in Lalitpuur,building_collapse_report
thanks for the help,goodbye_thanks
i need help,sos_help_request
random text here,fallback_unclear
highway blocked due to debris,road_blockage_report
what is theevacuation route,evacuation_guidance_query
wherecan we get temporary shelter,shelter_request
help me right now now,sos_help_request
gas leak near Kathmandu,gas_leak_report
the house isshaking badly,earthquake_occurring_report
my sister fell and hurt back???,injury_report
stuck ca't get out,trapped_debris_report
need ambulance at Gorkha,medical_emergency_request
tell me a joke help,fallback_unclear
safe place kaha a near Gorkha,safe_location_query
cannot reach Pokhara road is closed,road_blockage_report
nearest open ground for evacuation,safe_location_query
how to regisetr a found family member,family_reunification_status
cannot fin my brother after the quake,family_member_missing
cracks appeared after the quake help,building_damage_check
what can you do,fallback_unclear
hep,sos_help_request
pinned nuder debris,trapped_debris_report
my grandmother has a deep wound,injury_report
power lines dow nin Bhaktapur,power_outage_report
eveything is shaking,earthquake_occurring_report
cool thanks,goodbye_thanks
give menext steps please,status_check_general
i need hlep,sos_help_request
there is a fire in Pokhara pls,fire_incident_report
have not heard from my father since morning,family_member_missing
missing person report for my brother plz,family_member_missing
my father needs ambulanceurgently,medical_emergency_request
minorinjury on hand,injury_report
fire spreading fast in Bhaktapur,fire_incident_report
gas leak near Lalitpur,gas_leak_report
no food since yesterday???,food_water_request
good afternoon,greeting
cannot find my mother after the quake,family_member_missing
searching for my grandfather in Lalitpur,family_member_missing
want to update status that my grandfather issafe,family_reunification_status
evacuation planfor Bhaktapur,evacuation_guidance_query
do we need to evacuate immediately,evacuation_guidance_query
have not heard from my grandfather since morning,family_member_missing
are you a real person urgent pls,fallback_unclear
hp me,sos_help_request
my father fell and hurt back,injury_report
trapped under rubble,trapped_debris_report
ok got it thanks???,goodbye_thanks
what''s your favorite food,fallback_unclear
thank you so much for helping,goodbye_thanks
bleeding from had,injury_report
help me,sos_help_request
gas leak in the house,gas_leak_report
appreciat eit,goodbye_thanks
how longd o aftershocks continue,aftershock_information_query
my father phone not reachable since quake,family_member_missing
best pracitces for earthquake preparedness at home,preparedness_tips_query
need baby formula aand water,food_water_request
smoke coming from the house,fire_incident_report
road blocked by landslid near Bhaktapur,road_blockage_report
my brother collapsed and not waking up pls,medical_emergency_request
power lines down in Kathmandu,power_outage_report
this is not related to earthquake,fallback_unclear
reunited with my grandmothernow,family_reunification_status
buildinng on fire near Gorkha,fire_incident_report
i needhelp now,sos_help_request
gas leak nar Gorkha,gas_leak_report
gr8 thanks???,goodbye_thanks
smell of gas after earthqauke,gas_leak_report
what is the current situation pls,status_check_general
child helpline number,emergency_contact_request
aftreshock update please,aftershock_information_query
safest way to leave the building pls,evacuation_guidance_query
eatrhquake,earthquake_occurring_report
"structure collapsed, people may be inside!!!",building_collapse_report
tnhx,goodbye_thanks
should we evacuate now,evacuation_guidance_query
stuck under a collapsed wall,trapped_debris_report
help me pls im scared pls,sos_help_request
do we need to evacuateimmediately,evacuation_guidance_query
help???,sos_help_request
building collapsed in Lalitpur plz,building_collapse_report
found my father at the relief camp,family_reunification_status
hlep now,sos_help_request
my grandmother is injured badly,injury_report
strong tremor felt just now,earthquake_occurring_report
building on fire near Jajarkot???,fire_incident_report
gas leak near Bhaktapuur,gas_leak_report
cannot reach Bhaktapur road is closed,road_blockage_report
searching for my sister inKathmandu,family_member_missing
wall collapsed onthe street,building_collapse_report
my father ismissing since the earthquake,family_member_missing
"thank you, that helped",goodbye_thanks
cannot reach Gorkha road is closed,road_blockage_report
earthquake hit Grkha 5 minutes ago,earthquake_occurring_report
does this thing work,fallback_unclear
natiional emergency operation center number,emergency_contact_request
hlepp,sos_help_request
aftershockwarning for Lalitpur,aftershock_information_query
please ehlp me,sos_help_request
mnior injury on hand,injury_report
bridge collapsed near Pokhara plz,road_blockage_report
we are trapped inside the bilding,trapped_debris_report
are you a real perosn,fallback_unclear
what should i do righ now,status_check_general
power outage in Jjaarkot,power_outage_report
my grandmohter is stuck under the roof,trapped_debris_report
hello madaam,greeting
everythign is shaking,earthquake_occurring_report
will there be aftershocks???,aftershock_information_query
frst aid kit items needed,first_aid_query
thnak you,goodbye_thanks
how to preprae kids for earthquake drills,preparedness_tips_query
helllo,greeting
building collapsed in ajarkot,building_collapse_report
no power for two adys now,power_outage_report
my father is injured badly,injury_report
asdf urgent pls,fallback_unclear
ran out of food and water now,food_water_request
hey SQAFE,greeting
my sister flel and hurt back,injury_report
worried about gas leak in aapartment,gas_leak_report
hello sir,greeting
power outagein Lalitpur,power_outage_report
cannot rech Kathmandu road is closed,road_blockage_report
my brother fell and hurt back,injury_report
minor injury on hand,injury_report
reunited with my grandmother now,family_reunification_status
bridge cllapsed near Kathmandu,road_blockage_report
what's your favorite food,fallback_unclear
howstrong will aftershocks be,aftershock_information_query
lost contact withmy mother,family_member_missing
head injury from falling debris!!!,injury_report
the house has completely collapsed,building_collapse_report
my motheris injured badly,injury_report
road cracked cannotpass,road_blockage_report
my brother has a deepw ound,injury_report
safe place near me,safe_location_query
earthquake hit Gorkha 5 minutes ago help,earthquake_occurring_report
ran out of foodand water,food_water_request
bridge collapsed near Lalitpur,road_blockage_report
my grandfater is injured badly,injury_report
road cracked cannot pass,road_blockage_report
first aid for burns,first_aid_query
what to do after an earthquake,status_check_general
best practices for earthquake preparednessat home,preparedness_tips_query
naamste,greeting
bridge collapsed nearr Bhaktapur,road_blockage_report
want to updatestatus that my sister is safe,family_reunification_status
found my grandfather at the relief camp,family_reunification_status
power lines down in oGrkha,power_outage_report
when will power be restored,power_outage_report
where is the designated safe zone in Kathmandu!!!,safe_location_query
my mother fell and hurt back asap,injury_report
can anyone help,sos_help_request
safeplace kaha xa near Jajarkot,safe_location_query
whe will power be restored,power_outage_report
ground shaking very hard,earthquake_occurring_report
found my mother at the relief camp,family_reunification_status
gas leak in the house pls,gas_leak_report
what tokeep ready before an earthquake,preparedness_tips_query
help requied,sos_help_request
my mther collapsed and not waking up,medical_emergency_request
hello there,greeting
asdkkjasd,fallback_unclear
trapped need rescue team,trapped_debris_report
disaster reporting hotline,emergency_contact_request
roof caved in during the quake help,building_collapse_report
need clean drinking water urgently,food_water_request
massive hsaking right now,earthquake_occurring_report
road blocked by landslide near Lalitpur pls,road_blockage_report
how to help someone who fainted,first_aid_query
evacuation planf or Kathmandu,evacuation_guidance_query
entire building came down in Jajarkot,building_collapse_report
helol sir,greeting
our house is unsafeneed shelter,shelter_request
cannot reach Jajarkot roda is closed,road_blockage_report
how often should i check emergency supplies,preparedness_tips_query
want to update status that my brother is safe,family_reunification_status
help me right now urgent pls,sos_help_request
hey app!!!,greeting
where is the designated safee zone in Jajarkot,safe_location_query
there is a fire in Pokhara,fire_incident_report
hi,greeting
my brother collapsed and nto waking up,medical_emergency_request
aftershokc warning for Pokhara,aftershock_information_query
my sister has a deep wound,injury_report
safe place kaha xa near Gorkha,safe_location_query
my son is trapped under debris,trapped_debris_report
we just felt an earthquake in Bhaktapur,earthquake_occurring_report
my mother fell aand hurt back,injury_report
my grandmother having chest pain urgent pls,medical_emergency_request
need help pls,sos_help_request
safest wy to leave the building,evacuation_guidance_query
what plz,fallback_unclear
does this thing owrk,fallback_unclear
i dont know whatto do,status_check_general
power outgae in Bhaktapur,power_outage_report
earthquake in Lalitpur,earthquake_occurring_report
have not heard from my grandfahter since morning,family_member_missing
can you sing a song now,fallback_unclear
gas leak near Gorkha,gas_leak_report
this is not related to eearthquake,fallback_unclear
the house has completely collapssed,building_collapse_report
want to update statu sthat my brother is safe,family_reunification_status
there isa fire in Gorkha,fire_incident_report
bye urgent pls,goodbye_thanks
found my brother at the relief camp pls,family_reunification_status
road bloccked by landslide near Gorkha,road_blockage_report
evacuation plan for Pokhara plz,evacuation_guidance_query
thanks rbo,goodbye_thanks
safe place kaha xa near Bhaktapur plz,safe_location_query
earthquake hit Pokhara just now,earthquake_occurring_report
burned my hand slightly urgent pls,injury_report
power lines downin Bhaktapur,power_outage_report
gas leak near Bhaktapur,gas_leak_report
aftershock warning for Kathmandu pls,aftershock_information_query
frie spreading fast in Jajarkot,fire_incident_report
the house is shaking badly pls,earthquake_occurring_report
tourist police number please,emergency_contact_request
earthquake in Bhaktpaur,earthquake_occurring_report
hello there???,greeting
god evening,greeting
my sister is trapped under debris???,trapped_debris_report
there is a firein Pokhara,fire_incident_report
found my family member safe asap,family_reunification_status
what to do duringevacuation,evacuation_guidance_query
found my grandmother at hte relief camp,family_reunification_status
how to make my house earthquake safe,preparedness_tips_query
need cleandrinking water urgently,food_water_request
test urgent pls,fallback_unclear
we just felt an earthquake in Kathmandu help,earthquake_occurring_report
national emergency peration center number,emergency_contact_request
my gradfather collapsed and not waking up,medical_emergency_request
shelter needed for my sister and kids,shelter_request
my mother is missing since the eaarthquake,family_member_missing
we are trapped inside the building help,trapped_debris_report
what steps should i follow now,status_check_general
asdkajsd,fallback_unclear
neaest safe assembly point,safe_location_query
searching for my fathe rin Kathmandu,family_member_missing
where is the nearest safe zone plz,safe_location_query
what's your favorite food plz,fallback_unclear
wht can you do,fallback_unclear
should i expect more tremors tonight,aftershock_information_query
my father is unconscious,medical_emergency_request
gas stove cause fire,fire_incident_report
road damaged after earthqauke,road_blockage_report
what is hte ambulance number,emergency_contact_request
please soomeone help,sos_help_request
bleeding from head,injury_report
whatis the ambulance number,emergency_contact_request
myf ather is trapped under debris,trapped_debris_report
power outage in Pokhara,power_outage_report
reunited with my brother now,family_reunification_status
how to prepare an earthquake go bag???,preparedness_tips_query
thannk u so much,goodbye_thanks
no clean water available ehre,food_water_request
no electricity since the earthquake,power_outage_report
someone fainted need medical help,medical_emergency_request
thank you ery much,goodbye_thanks
power lines down in Lalitpur???,power_outage_report
appreciate it,goodbye_thanks
