id,language,text,intent,source
59,en,how many aftershocks re expected,aftershock_information_query,english_dataset.csv
60,en,where is the designated safe zone in Bhaktapur,safe_location_query,english_dataset.csv
61,en,critical patient needs ambulance now,medical_emergency_request,english_dataset.csv
62,en,my brother has been olcated safely,family_reunification_status,english_dataset.csv
63,en,my father fell and hurt back???,injury_report,english_dataset.csv
64,en,can i go back inside my house now,building_damage_check,english_dataset.csv
65,en,my sister has adeep wound,injury_report,english_dataset.csv
66,en,idk???,fallback_unclear,english_dataset.csv
67,en,how to treat  cut wound,first_aid_query,english_dataset.csv
68,en,aftershock update please,aftershock_information_query,english_dataset.csv
69,en,my grandmother has been located safely,family_reunification_status,english_dataset.csv
70,en,need tents for the nnight,shelter_request,english_dataset.csv
71,en,need drinking water asap,food_water_request,english_dataset.csv
72,en,evacuation plan for Gorkha,evacuation_guidance_query,english_dataset.csv
73,en,child helpline number urgent pls,emergency_contact_request,english_dataset.csv
74,en,is it safe to sleep indoors after aftershocks pls,aftershock_information_query,english_dataset.csv
75,en,my father is trapped under debris,trapped_debris_report,english_dataset.csv
76,en,is aonther earthquake coming,aftershock_information_query,english_dataset.csv
77,en,tell me what to do immediately,status_check_general,english_dataset.csv
78,en,this is not related to earhtquake,fallback_unclear,english_dataset.csv
79,en,"gas elak, please advise",gas_leak_report,english_dataset.csv
80,en,help pls,sos_help_request,english_dataset.csv
81,en,want to update status that my motheris safe,family_reunification_status,english_dataset.csv
82,en,fire spreading fast in Pokhara,fire_incident_report,english_dataset.csv
83,en,what should be in anemergency kit,preparedness_tips_query,english_dataset.csv
84,en,want to upddate status that my grandmother is safe,family_reunification_status,english_dataset.csv
85,en,my mother is stuck under the roof,trapped_debris_report,english_dataset.csv
86,en,who madeyou,fallback_unclear,english_dataset.csv
87,en,hi asap,greeting,english_dataset.csv
88,en,electricity cut off in our area,power_outage_report,english_dataset.csv
89,en,traped need rescue team,trapped_debris_report,english_dataset.csv
90,en,is my apartment structurally safe now,building_damage_check,english_dataset.csv
91,en,helloo sir,greeting,english_dataset.csv
92,en,how ol dare you,fallback_unclear,english_dataset.csv
93,en,bleedng from head,injury_report,english_dataset.csv
94,en,bye help,goodbye_thanks,english_dataset.csv
95,en,power lines dow nin Pokhara,power_outage_report,english_dataset.csv
96,en,trapped in thecollapsed house,trapped_debris_report,english_dataset.csv
97,en,broken ram need help,injury_report,english_dataset.csv
98,en,head injury from falling debris,injury_report,english_dataset.csv
99,en,want to update status that my grandmother is safe,family_reunification_status,english_dataset.csv
100,en,cananyone help,sos_help_request,english_dataset.csv
101,en,we just felt an earthquake in Gorkha,earthquake_occurring_report,english_dataset.csv
102,en,how to prepare an earthquake go bag plz,preparedness_tips_query,english_dataset.csv
103,en,ok thanks bye plz,goodbye_thanks,english_dataset.csv
104,en,evacuation pla nfor Gorkha,evacuation_guidance_query,english_dataset.csv
105,en,my sister is unconscious,medical_emergency_request,english_dataset.csv
106,en,cannot reach Pokhararoad is closed,road_blockage_report,english_dataset.csv
107,en,earthquake alert,earthquake_occurring_report,english_dataset.csv
108,en,safeplace kaha xa near Gorkha,safe_location_query,english_dataset.csv
109,en,building collapsed in Pokhara,building_collapse_report,english_dataset.csv
110,en,tell me what to do immeidately,status_check_general,english_dataset.csv
111,en,good orning,greeting,english_dataset.csv
112,en,help now,sos_help_request,english_dataset.csv
113,en,lost contact with my mother,family_member_missing,english_dataset.csv
114,en,weneed help,sos_help_request,english_dataset.csv
115,en,tent camp location needed,shelter_request,english_dataset.csv
116,en,my grandfather is stuck under the roof???,trapped_debris_report,english_dataset.csv
117,en,gas stove caused fire,fire_incident_report,english_dataset.csv
118,en,my sister hasbeen located safely,family_reunification_status,english_dataset.csv
119,en,earthquake preparedness tips please pls,preparedness_tips_query,english_dataset.csv
120,en,how many fatershocks are expected,aftershock_information_query,english_dataset.csv
121,en,bridge collapsed near Gorkha,road_blockage_report,english_dataset.csv
122,en,woh made you,fallback_unclear,english_dataset.csv
123,en,are you a real person,fallback_unclear,english_dataset.csv
124,en,my grandmother has eben located safely,family_reunification_status,english_dataset.csv
125,en,medical help needed urgently now,medical_emergency_request,english_dataset.csv
126,en,need shelter for myy family,shelter_request,english_dataset.csv
127,en,road blocked by landslide near Lalitpur asap,road_blockage_report,english_dataset.csv
128,en,which open area is saf eto gather,safe_location_query,english_dataset.csv
129,en,cooll thanks,goodbye_thanks,english_dataset.csv
130,en,cannot reach Jajarkot road is closed,road_blockage_report,english_dataset.csv
131,en,give me next steps please???,status_check_general,english_dataset.csv
132,en,help requuired,sos_help_request,english_dataset.csv
133,en,what's the weatherl ike,fallback_unclear,english_dataset.csv
134,en,electricity is out across the neighborhood urgent pls,power_outage_report,english_dataset.csv
135,en,building ollapsed in Bhaktapur,building_collapse_report,english_dataset.csv
136,en,test,fallback_unclear,english_dataset.csv
137,en,what is th eevacuation route,evacuation_guidance_query,english_dataset.csv
138,en,small firein the kitchen,fire_incident_report,english_dataset.csv
139,en,reunited with my brothe rnow,family_reunification_status,english_dataset.csv
140,en,yo help,greeting,english_dataset.csv
141,en,nepal red cross helpline nummber,emergency_contact_request,english_dataset.csv
142,en,my brother is stuck under the roof now,trapped_debris_report,english_dataset.csv
143,en,how to prepare kids for earthquake drills,preparedness_tips_query,english_dataset.csv
144,en,power outage in Lalitpur,power_outage_report,english_dataset.csv
145,en,greetinngs,greeting,english_dataset.csv
146,en,first aid for a broken arm,first_aid_query,english_dataset.csv
147,en,need ambulance at Gorkha now,medical_emergency_request,english_dataset.csv
148,en,where is the designnated safe zone in Kathmandu,safe_location_query,english_dataset.csv
149,en,can you sing a song urgent pls,fallback_unclear,english_dataset.csv
150,en,need tnts for the night,shelter_request,english_dataset.csv
151,en,my fathe fell and hurt back,injury_report,english_dataset.csv
152,en,best practices for earthquake preparedness at home,preparedness_tips_query,english_dataset.csv
153,en,anyonethere help,sos_help_request,english_dataset.csv
154,en,my mother has been located safely,family_reunification_status,english_dataset.csv
155,en,safe place nearr me,safe_location_query,english_dataset.csv
156,en,aftershock warning for Kathmandu,aftershock_information_query,english_dataset.csv
157,en,themain road is blocked,road_blockage_report,english_dataset.csv
158,en,shoul we evacuate now,evacuation_guidance_query,english_dataset.csv
159,en,reunited with my mtoher now,family_reunification_status,english_dataset.csv
160,en,123456,fallback_unclear,english_dataset.csv
161,en,tell me what to do immedaitely,status_check_general,english_dataset.csv
162,en,the house is shaking badly,earthquake_occurring_report,english_dataset.csv
163,en,roof caved in during the quake,building_collapse_report,english_dataset.csv
164,en,cannot reach Kathmandu road is closed,road_blockage_report,english_dataset.csv
165,en,no food since yesterday,food_water_request,english_dataset.csv
166,en,my grandmother needs ambulance urgently,medical_emergency_request,english_dataset.csv
167,en,searching for my sister in Kathmandu!!!,family_member_missing,english_dataset.csv
168,en,evacuation plan for Pokhara,evacuation_guidance_query,english_dataset.csv
169,en,my mother is stuckunder the roof,trapped_debris_report,english_dataset.csv
170,en,any relief camp nearby,shelter_request,english_dataset.csv
171,en,thanks a lot,goodbye_thanks,english_dataset.csv
172,en,no house to stay need shelterurgently,shelter_request,english_dataset.csv
173,en,nearest open ground ofr evacuation,safe_location_query,english_dataset.csv
174,en,need baby formula and water,food_water_request,english_dataset.csv
175,en,aftershock warning for Pokhara,aftershock_information_query,english_dataset.csv
176,en,my grandmother having chest pain,medical_emergency_request,english_dataset.csv
177,en,what hsould be in an emergency kit,preparedness_tips_query,english_dataset.csv
178,en,we need help,sos_help_request,english_dataset.csv
179,en,my grandfather is stuck under the roof,trapped_debris_report,english_dataset.csv
180,en,howto make my house earthquake safe,preparedness_tips_query,english_dataset.csv
181,en,my grandmother needs ambulnce urgently,medical_emergency_request,english_dataset.csv
182,en,my father phone not reachable ince quake,family_member_missing,english_dataset.csv
183,en,hurt my leg during earthquake asap,injury_report,english_dataset.csv
184,en,hi bot,greeting,english_dataset.csv
185,en,searchingfor my brother in Lalitpur,family_member_missing,english_dataset.csv
186,en,where is the nearest relief camp,shelter_request,english_dataset.csv
187,en,tentcamp location needed,shelter_request,english_dataset.csv
188,en,help,sos_help_request,english_dataset.csv
189,en,electricity is out across the neighborhood,power_outage_report,english_dataset.csv
190,en,severe bleedingneed medic,medical_emergency_request,english_dataset.csv
191,en,evacuatoin plan for Pokhara,evacuation_guidance_query,english_dataset.csv
192,en,how to stop bleeding,first_aid_query,english_dataset.csv
193,en,my mother collapsed and not waking up,medical_emergency_request,english_dataset.csv
194,en,is this ane arthquake,earthquake_occurring_report,english_dataset.csv
195,en,earthquake hit Gorkha 5 minutes ago,earthquake_occurring_report,english_dataset.csv
196,en,is it safe to stay in this house,building_damage_check,english_dataset.csv
197,en,safe place kaha xa near Bhaktapur,safe_location_query,english_dataset.csv
198,en,power lines down in Gorka,power_outage_report,english_dataset.csv
199,en,thanks for the hhelp,goodbye_thanks,english_dataset.csv
200,en,earthquake inLalitpur,earthquake_occurring_report,english_dataset.csv
201,en,no house to stay need shelter urgently,shelter_request,english_dataset.csv
202,en,my grandmother collapsed and no waking up,medical_emergency_request,english_dataset.csv
203,en,shelter needed for my brother and kids pls,shelter_request,english_dataset.csv
204,en,how to help chokingg person,first_aid_query,english_dataset.csv
205,en,need ration for my mother,food_water_request,english_dataset.csv
206,en,hey there now,greeting,english_dataset.csv
207,en,steps to evacuate the buillding,evacuation_guidance_query,english_dataset.csv
208,en,safe place kaha xa near Lalitpur pls,safe_location_query,english_dataset.csv
209,en,our house collappsed completely,building_collapse_report,english_dataset.csv
210,en,massive shaking right now,earthquake_occurring_report,english_dataset.csv
211,en,power outage in Gorkha,power_outage_report,english_dataset.csv
212,en,123456 pls,fallback_unclear,english_dataset.csv
213,en,building collapsed in Lalitpur,building_collapse_report,english_dataset.csv
214,en,cannot reach Jajarkot roadis closed,road_blockage_report,english_dataset.csv
215,en,gas leak please advise,gas_leak_report,english_dataset.csv
216,en,help ow,sos_help_request,english_dataset.csv
217,en,fire spreading fast in Kathmandu!!!,fire_incident_report,english_dataset.csv
218,en,buuilding tilted slightly is it dangerous,building_damage_check,english_dataset.csv
219,en,my grandmotheris unconscious,medical_emergency_request,english_dataset.csv
220,en,thankks,goodbye_thanks,english_dataset.csv
221,en,road blocked by landslide near Jajarkot,road_blockage_report,english_dataset.csv
222,en,reunited with my mother now,family_reunification_status,english_dataset.csv
223,en,"thankyou, that helped",goodbye_thanks,english_dataset.csv
224,en,cut on my leg bleeding now,injury_report,english_dataset.csv
225,en,heart attack symptoms need doctor,medical_emergency_request,english_dataset.csv
226,en,what should i do right now,status_check_general,english_dataset.csv
227,en,much aappreciated,goodbye_thanks,english_dataset.csv
228,en,how to stoop bleeding,first_aid_query,english_dataset.csv
229,en,how do i know if my building is safe,building_damage_check,english_dataset.csv
230,en,we are stuck inside walls collapsed,trapped_debris_report,english_dataset.csv
231,en,building on fire near Kathmandu,fire_incident_report,english_dataset.csv
232,en,fire spreadng fast in Jajarkot,fire_incident_report,english_dataset.csv
233,en,my grandfathe rdid not come home yet,family_member_missing,english_dataset.csv
234,en,small fire in the kitchen,fire_incident_report,english_dataset.csv
235,en,hoow to help someone who fainted,first_aid_query,english_dataset.csv
236,en,ok bye,goodbye_thanks,english_dataset.csv
237,en,apartment block collapsed nearby,building_collapse_report,english_dataset.csv
238,en,my motheris stuck under the roof,trapped_debris_report,english_dataset.csv
239,en,iddk,fallback_unclear,english_dataset.csv
240,en,trapped need rescueteam,trapped_debris_report,english_dataset.csv
241,en,how to prepare kids foor earthquake drills,preparedness_tips_query,english_dataset.csv
242,en,fire spreading fast in BBhaktapur,fire_incident_report,english_dataset.csv
243,en,strong gas smell in the building now,gas_leak_report,english_dataset.csv
244,en,aftershock warinng for Lalitpur,aftershock_information_query,english_dataset.csv
245,en,help ls,sos_help_request,english_dataset.csv
246,en,fire broke out after the earthquake,fire_incident_report,english_dataset.csv
247,en,huh,fallback_unclear,english_dataset.csv
248,en,water supply cut off need water,food_water_request,english_dataset.csv
249,en,my father needs ambulannce urgently,medical_emergency_request,english_dataset.csv
250,en,building on fire near Jajarkot,fire_incident_report,english_dataset.csv
251,en,power lines down in Laliitpur,power_outage_report,english_dataset.csv
252,en,i need help now plz,sos_help_request,english_dataset.csv
253,en,how to plana family emergency meeting point,preparedness_tips_query,english_dataset.csv
254,en,there is afire in Bhaktapur,fire_incident_report,english_dataset.csv
255,en,building on fire near Lalitpur,fire_incident_report,english_dataset.csv
256,en,reunitedwith my mother now,family_reunification_status,english_dataset.csv
257,en,fire broke out afterthe earthquake,fire_incident_report,english_dataset.csv
258,en,road damaged after eartqhuake,road_blockage_report,english_dataset.csv
259,en,cannot reach Lalitpur road is closed,road_blockage_report,english_dataset.csv
260,en,can i go back insidde my house now,building_damage_check,english_dataset.csv
261,en,gas leak near oGrkha,gas_leak_report,english_dataset.csv
262,en,where can we take shelter safely,safe_location_query,english_dataset.csv
263,en,hmmm,fallback_unclear,english_dataset.csv
264,en,anyone there help,sos_help_request,english_dataset.csv
265,en,there are cracks in the wall,building_damage_check,english_dataset.csv
266,en,random text here!!!,fallback_unclear,english_dataset.csv
267,en,thanks thats' all,goodbye_thanks,english_dataset.csv
268,en,power lines down in Jjaarkot,power_outage_report,english_dataset.csv
269,en,entire uilding came down in Lalitpur,building_collapse_report,english_dataset.csv
270,en,can you sing a song,fallback_unclear,english_dataset.csv
271,en,my father having chestpain,medical_emergency_request,english_dataset.csv
272,en,where is the designated safe zone in Gorkha,safe_location_query,english_dataset.csv
273,en,evacuation plan for Lalitpur,evacuation_guidance_query,english_dataset.csv
274,en,someboy help,sos_help_request,english_dataset.csv
275,en,power outagein Gorkha,power_outage_report,english_dataset.csv
276,en,someone fainted need medical help???,medical_emergency_request,english_dataset.csv
277,en,safe place kaha x anear Kathmandu,safe_location_query,english_dataset.csv
278,en,my father having chest pain,medical_emergency_request,english_dataset.csv
279,en,what actions should i take now,status_check_general,english_dataset.csv
280,en,guide me on what to do,status_check_general,english_dataset.csv
281,en,greetings,greeting,english_dataset.csv
282,en,evacuation plan for Lalitpur urgent pls,evacuation_guidance_query,english_dataset.csv
283,en,medicalemergency please help,medical_emergency_request,english_dataset.csv
284,en,where should i go for safety,safe_location_query,english_dataset.csv
285,en,help help,sos_help_request,english_dataset.csv
286,en,searching for my granfdather in Bhaktapur,family_member_missing,english_dataset.csv
287,en,highway blockeddue to debris,road_blockage_report,english_dataset.csv
288,en,should iexpect more tremors tonight,aftershock_information_query,english_dataset.csv
289,en,gas laek near Pokhara,gas_leak_report,english_dataset.csv
290,en,kitchen caught fire during quake,fire_incident_report,english_dataset.csv
291,en,"trapped, please send rescue",trapped_debris_report,english_dataset.csv
292,en,thanksbro,goodbye_thanks,english_dataset.csv
293,en,thank you,goodbye_thanks,english_dataset.csv
294,en,need ration for my sister plz,food_water_request,english_dataset.csv
295,en,earthquake hit Kathmandu justnow,earthquake_occurring_report,english_dataset.csv
296,en,stuck can't get out,trapped_debris_report,english_dataset.csv
297,en,hllp me,sos_help_request,english_dataset.csv
298,en,nearest safe assembly point,safe_location_query,english_dataset.csv
299,en,need help,sos_help_request,english_dataset.csv
300,en,cylinderleaking gas,gas_leak_report,english_dataset.csv
301,en,have not heard from my mother since morning,family_member_missing,english_dataset.csv
302,en,shelter needed for my fahter and kids,shelter_request,english_dataset.csv
303,en,somebody help,sos_help_request,english_dataset.csv
304,en,gr8 thanks,goodbye_thanks,english_dataset.csv
305,en,my mother has been located safely!!!,family_reunification_status,english_dataset.csv
306,en,fire spreading fast in Jajarkot,fire_incident_report,english_dataset.csv
307,en,no electricity since the earhquake,power_outage_report,english_dataset.csv
308,en,there are cracks in thewall,building_damage_check,english_dataset.csv
309,en,lost contact with my brother,family_member_missing,english_dataset.csv
310,en,safe place kaha xa near Lalitpur help,safe_location_query,english_dataset.csv
311,en,need rattion for my mother,food_water_request,english_dataset.csv
312,en,need tents for the night,shelter_request,english_dataset.csv
313,en,entire building came down in Bhaktapur,building_collapse_report,english_dataset.csv
314,en,searching for my grandfather iin Lalitpur,family_member_missing,english_dataset.csv
315,en,my brother has been located safely help,family_reunification_status,english_dataset.csv
316,en,what ccan you do,fallback_unclear,english_dataset.csv
317,en,gas leak nearBhaktapur,gas_leak_report,english_dataset.csv
318,en,missing eprson report for my mother,family_member_missing,english_dataset.csv
319,en,huuh,fallback_unclear,english_dataset.csv
320,en,there is a fire in Lalitpur asap,fire_incident_report,english_dataset.csv
321,en,my grandmother has a deep wonud,injury_report,english_dataset.csv
322,en,aftershockupdate please,aftershock_information_query,english_dataset.csv
323,en,hello,greeting,english_dataset.csv
324,en,my sister has been located safely,family_reunification_status,english_dataset.csv
325,en,namaste now,greeting,english_dataset.csv
326,en,fire spreading fast in Gorkha,fire_incident_report,english_dataset.csv
327,en,earthquake hit Kathmandu just now,earthquake_occurring_report,english_dataset.csv
328,en,hi bot help,greeting,english_dataset.csv
329,en,any reliefc amp nearby,shelter_request,english_dataset.csv
330,en,foudn my family member safe,family_reunification_status,english_dataset.csv
331,en,my sister collapsed adn not waking up,medical_emergency_request,english_dataset.csv
332,en,road damaged after earthquake,road_blockage_report,english_dataset.csv
333,en,earthquake just occurred 5 minutes ago,earthquake_occurring_report,english_dataset.csv
334,en,evacuation plan for Bhaktapur,evacuation_guidance_query,english_dataset.csv
335,en,hey QSAFE,greeting,english_dataset.csv
336,en,road crackd cannot pass,road_blockage_report,english_dataset.csv
337,en,hi bot plz,greeting,english_dataset.csv
338,en,found my grandmother at the relief camp,family_reunification_status,english_dataset.csv
339,en,erathquake,earthquake_occurring_report,english_dataset.csv
340,en,what to do after an earthquake pls,status_check_general,english_dataset.csv
341,en,thanks a lot plz,goodbye_thanks,english_dataset.csv
342,en,therre is a fire in Kathmandu,fire_incident_report,english_dataset.csv
343,en,tourist poilce number please,emergency_contact_request,english_dataset.csv
344,en,where is the designated safe zone in Kathmandu,safe_location_query,english_dataset.csv
345,en,i dont know wha tto do,status_check_general,english_dataset.csv
346,en,how to help choking person,first_aid_query,english_dataset.csv
347,en,food distribution point nearby,food_water_request,english_dataset.csv
348,en,gas pipe broke during qukae,gas_leak_report,english_dataset.csv
349,en,safe place kaha xa near Lalitpur,safe_location_query,english_dataset.csv
350,en,cannot find my brother after the quake,family_member_missing,english_dataset.csv
351,en,my father is trapped underdebris,trapped_debris_report,english_dataset.csv
352,en,how do i know f my building is safe,building_damage_check,english_dataset.csv
353,en,found my brother at the relief cap,family_reunification_status,english_dataset.csv
354,en,no electricity since theearthquake,power_outage_report,english_dataset.csv
355,en,road blocked by landslide near Bhhaktapur,road_blockage_report,english_dataset.csv
356,en,school building partially collapsed,building_collapse_report,english_dataset.csv
357,en,my sisterhas a deep wound,injury_report,english_dataset.csv
358,en,trapped in the collapsed house,trapped_debris_report,english_dataset.csv
359,en,earthquake hti Kathmandu just now,earthquake_occurring_report,english_dataset.csv
360,en,bye take care,goodbye_thanks,english_dataset.csv
361,en,heelp help,sos_help_request,english_dataset.csv
362,en,building collapsed inPokhara,building_collapse_report,english_dataset.csv
363,en,what todo for a sprained ankle,first_aid_query,english_dataset.csv
364,en,child helpline number???,emergency_contact_request,english_dataset.csv
365,en,gas leak near Pokhaa,gas_leak_report,english_dataset.csv
366,en,fire spreading fast in Kathmandu,fire_incident_report,english_dataset.csv
367,en,need ration for myb rother,food_water_request,english_dataset.csv
368,en,tanks,goodbye_thanks,english_dataset.csv
369,en,police emergency number please!!!,emergency_contact_request,english_dataset.csv
370,en,first ai for a broken arm,first_aid_query,english_dataset.csv
371,en,steps to evacuate the building pls,evacuation_guidance_query,english_dataset.csv
372,en,earthquake in Bhaktapur,earthquake_occurring_report,english_dataset.csv
373,en,cut on my leg bleeding,injury_report,english_dataset.csv
374,en,there is a fire in Kathmandu,fire_incident_report,english_dataset.csv
375,en,any relief cmap nearby,shelter_request,english_dataset.csv
376,en,power outage in Bhaktapur,power_outage_report,english_dataset.csv
377,en,safe place kaha xa near Kathmandu,safe_location_query,english_dataset.csv
378,en,my grandfather is injured badly,injury_report,english_dataset.csv
379,en,safe evacuation point near me,safe_location_query,english_dataset.csv
380,en,bridge collapsed near Lalitpur asap,road_blockage_report,english_dataset.csv
381,en,what steps should i follow now asap,status_check_general,english_dataset.csv
382,en,"can't move, trapepd under concrete",trapped_debris_report,english_dataset.csv
383,en,displaced need a place to stay,shelter_request,english_dataset.csv
384,en,burned myhand slightly,injury_report,english_dataset.csv
385,en,earthquakein Gorkha,earthquake_occurring_report,english_dataset.csv
386,en,no clean water available here???,food_water_request,english_dataset.csv
387,en,smell of gas after eaarthquake,gas_leak_report,english_dataset.csv
388,en,help me pls im scared,sos_help_request,english_dataset.csv
389,en,have not heard from my fathersince morning,family_member_missing,english_dataset.csv
390,en,cylinderl eaking gas,gas_leak_report,english_dataset.csv
391,en,firsta id for burns,first_aid_query,english_dataset.csv
392,en,what should i do now,status_check_general,english_dataset.csv
393,en,sfae place near me,safe_location_query,english_dataset.csv
394,en,gas leak near Llaitpur,gas_leak_report,english_dataset.csv
395,en,fire broke out aftert he earthquake,fire_incident_report,english_dataset.csv
396,en,please help me,sos_help_request,english_dataset.csv
397,en,help me right now,sos_help_request,english_dataset.csv
398,en,my grandfather has been lcoated safely,family_reunification_status,english_dataset.csv
399,en,want to update status that my brother is safe asap,family_reunification_status,english_dataset.csv
400,en,hello madam!!!,greeting,english_dataset.csv
401,en,my sister iis unconscious,medical_emergency_request,english_dataset.csv
402,en,brokenarm need help,injury_report,english_dataset.csv
403,en,aftershock warning for Lalitpur,aftershock_information_query,english_dataset.csv
404,en,found my sister at the relief camp,family_reunification_status,english_dataset.csv
405,en,my garndfather has been located safely,family_reunification_status,english_dataset.csv
406,en,shelter needd for my sister and kids,shelter_request,english_dataset.csv
407,en,entire building came down i nGorkha,building_collapse_report,english_dataset.csv
408,en,hlo,greeting,english_dataset.csv
409,en,hello madam,greeting,english_dataset.csv
410,en,my daughter is trapped under debris,trapped_debris_report,english_dataset.csv
411,en,found my father at the relief camp pls,family_reunification_status,english_dataset.csv
412,en,found my motherat the relief camp,family_reunification_status,english_dataset.csv
413,en,my grandfatther did not come home yet,family_member_missing,english_dataset.csv
414,en,"structure collapsed, peopl may be inside",building_collapse_report,english_dataset.csv
415,en,gas leak in the house urgent pls,gas_leak_report,english_dataset.csv
416,en,where is the designated safe zone in Lalitpur,safe_location_query,english_dataset.csv
417,en,fire alertnear market,fire_incident_report,english_dataset.csv
418,en,help!!,sos_help_request,english_dataset.csv
419,en,missing person report for my mother,family_member_missing,english_dataset.csv
420,en,my daughter is sttuck under the roof,trapped_debris_report,english_dataset.csv
421,en,hart attack symptoms need doctor,medical_emergency_request,english_dataset.csv
422,en,water supply cut offneed water,food_water_request,english_dataset.csv
423,en,my son is stuck underthe roof,trapped_debris_report,english_dataset.csv
424,en,randoom text here,fallback_unclear,english_dataset.csv
425,en,is it saef to stay in this house,building_damage_check,english_dataset.csv
426,en,good morning,greeting,english_dataset.csv
427,en,where is the designated safe zonein Pokhara,safe_location_query,english_dataset.csv
428,en,building on fire near Pokhara,fire_incident_report,english_dataset.csv
429,en,my grandmother fell and hur tback,injury_report,english_dataset.csv
430,en,power outage in Kathmandu,power_outage_report,english_dataset.csv
431,en,is my apartmnt structurally safe now,building_damage_check,english_dataset.csv
432,en,gas leak bhayo,gas_leak_report,english_dataset.csv
433,en,no foodd since yesterday,food_water_request,english_dataset.csv
434,en,head njury from falling debris,injury_report,english_dataset.csv
435,en,what should be in an emergency kit,preparedness_tips_query,english_dataset.csv
436,en,earthqauke alert,earthquake_occurring_report,english_dataset.csv
437,en,police emergency number please,emergency_contact_request,english_dataset.csv
438,en,adf,fallback_unclear,english_dataset.csv
439,en,medical emergency please help,medical_emergency_request,english_dataset.csv
440,en,cannot find my sn after the quake,family_member_missing,english_dataset.csv
441,en,fire brigade contact number,emergency_contact_request,english_dataset.csv
442,en,how to secure furniture from falling,preparedness_tips_query,english_dataset.csv
443,en,need shelter for my family,shelter_request,english_dataset.csv
444,en,heart attacksymptoms need doctor,medical_emergency_request,english_dataset.csv
