text,intent,split
earthquake hit Grokha 5 minutes ago help,earthquake_occurring_report,train
taauko bata raagat bagira xa,injury_report,train
cannot find my son after the quake,family_member_missing,train
bhukampa ko jhatka aaile feel bhayo!!!,earthquake_occurring_report,train
ल ठिक छ बाई छिटो,goodbye_thanks,train
pprecciate it,goodbye_thanks,train
परिवारको लागि खाद्य सामग्री चाहियो,food_water_request,train
आज राति थप धक्का आउनसक्छ कि,aftershock_information_query,train
भक्तपुरमा तोकिएको सुरक्षित क्षेत्र कहाँ छ,safe_location_query,train
earthquake bhayo hamro area ma,earthquake_occurring_report,train
emergency supplies kati choti check garne,preparedness_tips_query,train
buried under rubble,trapped_debris_report,train
mero bhai debrismuni thuniyo,trapped_debris_report,train
how to bandage a wound properly,first_aid_query,train
cracks appeaared after the quake,building_damage_check,train
bijuli kahile aaaunxa,power_outage_report,train
काठमाडौं मा बिजुली गएको छ है,power_outage_report,train
मद्दत गरहै,sos_help_request,train
safe place kaha xa near Lalitpur help,safe_location_query,train
searching for my fathe rin Kathmandu,family_member_missing,train
earthquake in Bhaktapur,earthquake_occurring_report,train
mero buwa safe cha vanera status update garna man xa!!!,family_reunification_status,train
want to updatestatus that my sister is safe,family_reunification_status,train
sabai hallyo bhukaampa le,earthquake_occurring_report,train
havenot heard from my grandfather since morning,family_member_missing,train
bhukampa ko jhatka abhi feel bhayo,earthquake_occurring_report,train
ललितपुर मा एम्बुलेन्स चाहियो,medical_emergency_request,train
how to treat  cut wound,first_aid_query,train
someone finted need medical help,medical_emergency_request,train
जाजरकोट मा सम्पूर्ण भवन ढल्यो,building_collapse_report,train
नमस्कार छिटो,greeting,train
behosh bhako manxe lai ksaari elp garne,first_aid_query,train
relief camp m mero bhai bhetiyo,family_reunification_status,train
bye urgent pls,goodbye_thanks,train
bachcha haru lai earthquake drill ko lagi kasari prepare garne,preparedness_tips_query,train
ko icha help garne,sos_help_request,train
भक्तपुर नजिक ग्यास चुहावट भयो!!,gas_leak_report,train
छोरी सँग सम्पर्क टुटेको छ,family_member_missing,train
cannot find my sn after the quake,family_member_missing,train
ललितपुर मा बिजुलीको तार खसेको छ,power_outage_report,train
जाजरकोट मा तोकिएको सुरक्षित क्षेत्र कहाँ छ,safe_location_query,train
bhukampa pachi emro mama laibhettauna sakina,family_member_missing,train
जे पनि टाइप गर्दैछु!!,fallback_unclear,train
हजुरआमा बेहोसहुनुभयो,medical_emergency_request,train
mero bhai laichest ma dukheko xa,medical_emergency_request,train
hey bhaujuk  cha,greeting,train
काठमाडौं मा घर भत्कियो,building_collapse_report,train
mero buwa lai badly injury bhayo,injury_report,train
आमा सुरक्षित हुनुहुन्छ भनेर स्थिति अपडेटगर्न चाहन्छु,family_reunification_status,train
बुबा को लागि खाद्यान्न चाहियो प्लिज,food_water_request,train
बुबा लाईगम्भीर चोट लागेको छ,injury_report,train
पानीको आपूर्ति बन्द भयो पानी चाहियो हजुर,food_water_request,train
छत खसेर हजुरबुबा थुनिनुभयो,trapped_debris_report,train
काठमाडौं नजिक पहिरोले सडक बन्द भयो,road_blockage_report,train
हेल्लो हजुर,greeting,train
emergency supplis kti choti check garne,preparedness_tips_query,train
मआा सँग सम्पर्क टुटेको छ,family_member_missing,train
pura building dalyo hamro area ma,building_collapse_report,train
evacuation ko lagi khulla thau kaha cha,safe_location_query,train
gas stove le aago lgaoy,fire_incident_report,train
srtong ttremor felt just now,earthquake_occurring_report,train
घरभरि ग्यासको गन्ध छ प्लिज,gas_leak_report,train
safe place kaha xa nearPokhara,safe_location_query,train
power lines dow nin Bhaktapur,power_outage_report,train
immediate help chai xa,sos_help_request,train
हजुरबुबा लाईएम्बुलेन्स चाहियो छिटो,medical_emergency_request,train
राति बस्न पालचाहियो,shelter_request,train
पोखरा माघर भत्कियो,building_collapse_report,train
evacuation ko route k ho,evacuation_guidance_query,train
evacuation plan for Kathmandu,evacuation_guidance_query,train
randoom text here,fallback_unclear,train
ghar ekdam hallyo earthquake hoki k ho,earthquake_occurring_report,train
chat khasyo bhukampa ma,building_collapse_report,train
koi cha hel pgarne,sos_help_request,train
sabai hallyo bhukampa le!!!,earthquake_occurring_report,train
mero sathi lai ambulance chai urgent,medical_emergency_request,train
najik ko assembly point kaaha cha,safe_location_query,train
केपराकम्प आउने छ,aftershock_information_query,train
brick khasekole lagyo,injury_report,train
परिवारको लागि खाद् यसामग्री चाहियो,food_water_request,train
joke bhhanna saknu huncha,fallback_unclear,train
how to register a found family member,family_reunification_status,train
५ मिनेट अगाडि भूकम्प आयो है,earthquake_occurring_report,train
नमस्कारसर,greeting,train
kitchen ma gas dherai chuhira xa urgent pls,gas_leak_report,train
Kathmandu ma ammbulance patau na,medical_emergency_request,train
hey bhuju k cha,greeting,train
gas leak near Kathmandu,gas_leak_report,train
hmro area ma power line khasekocha,power_outage_report,train
k grne vanera guide garnuhos,status_check_general,train
namaste ca you help me,greeting,train
power outage in Pokhara,power_outage_report,train
सहयोग हजुर,sos_help_request,train
arkobhukamap aaunxa ki,aftershock_information_query,train
hello ji sanchai hunuhuncha,greeting,train
fire spreding fast in Kathmandu,fire_incident_report,train
अहिले दिदी सँग भेटभयो,family_reunification_status,train
नमस्कार!!,greeting,train
entre building came down in Bhaktapur,building_collapse_report,train
"dhanyaabd, that helped a lot",goodbye_thanks,train
mero bhai lai depe woound xa,injury_report,train
ghar balirraxa fire brigade chai,fire_incident_report,train
काठमाडौंजान सकिँदैन सडक बन्द छ,road_blockage_report,train
ground shaking very hard,earthquake_occurring_report,train
wnt to update status that my siser is safe,family_reunification_status,train
अहिले आमा सँग भेट भयो,family_reunification_status,train
tent cmp ko location chai,shelter_request,train
want to update status that my sister is safe,family_reunification_status,train
भूकम्पपछि ग्यासको गन्ध आइरहेको छ,gas_leak_report,train
mero ama lai chest ma dukheko xa plz,medical_emergency_request,train
के हो यो,fallback_unclear,train
"gas elak, please advise",gas_leak_report,train
ok thanks bye is ma jaanchhu,goodbye_thanks,train
ghr collapse bhayo hami bhitra fasyou,trapped_debris_report,train
found my grandfather at the relief camp asap,family_reunification_status,train
mero saathi unconsciuos bhayo,medical_emergency_request,train
poleko thau ko firts aid,first_aid_query,train
हजुरबुबा भग्नावेशषमुनि थुनिनुभयो???,trapped_debris_report,train
mero didi pinned under debris malai hel pchhai,trapped_debris_report,train
mero saathi lai deepwound xa,injury_report,train
हजुरआमा को बेपत्ता व्यक्ति रिपोर्ट,family_member_missing,train
bhukampa dekhi bijuli xaina,power_outage_report,train
हेल्लो,greeting,train
गोर्खा मा भूकम्प गयो,earthquake_occurring_report,train
bhukampa dekhi bijulixaina,power_outage_report,train
meero didi lai safely locate garya,family_reunification_status,train
धन्यबादहै,goodbye_thanks,train
mym otheris stuck under the roof,trapped_debris_report,train
भक्तपुर मा घरभत्कियो,building_collapse_report,train
नजिकैकोराहत शिविर कहाँ छ,shelter_request,train
sfe evacuationp oint near me,safe_location_query,train
आमासँग सम्रप्क टुटेको छ,family_member_missing,train
भक्तपुर मा जोडदारधक्का महसुस भयो,earthquake_occurring_report,train
सहयोग गर्नुहोस्,sos_help_request,train
evacuation ko laggi khulla thau kaha cha,safe_location_query,train
erthquake hit Kathmandu just now,earthquake_occurring_report,train
जाजरकोट मा घरभत्कियो,building_collapse_report,train
hamro area ko lagi aftershock warning!!!,aftershock_information_query,train
wll collapsed on the street,building_collapse_report,train
भान्सामा सानो आगो लगाेकोछ,fire_incident_report,train
भूकम्पकोल ागि गो-ब्याग कसरी तयार पार्ने,preparedness_tips_query,train
searching for my grandfathe rin Bhaktapur,family_member_missing,train
wha tccan you do,fallback_unclear,train
khutta ma cho tlagyo running bela,injury_report,train
भक्तपुर जान सकिँदैन सडक बन्द छ प्लिज,road_blockage_report,train
budo budi sannga kasari evacuate garne,evacuation_guidance_query,train
rescue ko lagi kaha phone garne help,emergency_contact_request,train
sos maai help chai,sos_help_request,train
tell me what tod o immeidately,status_check_general,train
there is a fire in Lalitpur asap,fire_incident_report,train
ahile k grnu parxa,status_check_general,train
दिदी लाई सुरक्षित फेला परेकोछ,family_reunification_status,train
bijuli kahile aaunxa,power_outage_report,train
पोखरा म ाआगो लागेको छ है,fire_incident_report,train
भूकम्पपछि सडक क्षतिग्रस्तभयो,road_blockage_report,train
हजुरबुबा लाई गम्भीर चोट लागेको छ,injury_report,train
gaun najik ko pul bhatkiyo,road_blockage_report,train
bhi ghar bhitra jana milxaa ki,building_damage_check,train
shelter neededf or my brother and kids,shelter_request,train
road block bhayo landslide le gaaun najik,road_blockage_report,train
mero aama sanga bahi reunite bhayo,family_reunification_status,train
kun kuhlla thau safe cha gather garna!!!,safe_location_query,train
छिमेकभरि बिजुली गएको छ,power_outage_report,train
ga leak near Lailtpur,gas_leak_report,train
छत खसेर बुबा थनुिनुभयो है,trapped_debris_report,train
building on fire near oPkhara,fire_incident_report,train
power lines down in Lalitpur,power_outage_report,train
mero buwa sanga abhi reunitebhayo,family_reunification_status,train
सहयोग गर्नु होला,sos_help_request,train
पाल शिविरको स्थान चाहियो हजुर,shelter_request,train
ग्यासको पाइप भाँचियोभूकम्पमा,gas_leak_report,train
buidling safe cha kikasari thaha pauney,building_damage_check,train
पहिरोले एकमात्र सडक बन्द भयो प्लिज,road_blockage_report,train
erathquake,earthquake_occurring_report,train
एस ओएस,sos_help_request,train
bhukampa report garna man xa Gorkha ma urgent pls,earthquake_occurring_report,train
अहँ,fallback_unclear,train
आमा लाई सुरक्षित फेला परेको छ है,family_reunification_status,train
thanks rbo,goodbye_thanks,train
धन्यबाद है छिटो,goodbye_thanks,train
घाउ भएको ठउाँमा कसरी उपचार गर्ने है,first_aid_query,train
my sister has a deep wound,injury_report,train
shelter chaincha mero family ko lagi plz,shelter_request,train
need tents for the night,shelter_request,train
भवन अलिकतिढल्किएको छ खतरा छ कि,building_damage_check,train
aago chittai failira xa Kathmandu ma???,fire_incident_report,train
road blocke dby landslide near Pokhara,road_blockage_report,train
random tye gardai xu,fallback_unclear,train
building batae vacuate garne steps now,evacuation_guidance_query,train
ploice emergency number dinu hos,emergency_contact_request,train
is my apartment structurally safe now!!!,building_damage_check,train
छोरी अझै रघ आउनुभएको छैन!!,family_member_missing,train
najik ko relief camp kaha cha,shelter_request,train
electricity cut off in our area,power_outage_report,train
विपद रिपोर्टिङ हटलाइन,emergency_contact_request,train
good vening!!!,greeting,train
how to prepare an earthquake go bag,preparedness_tips_query,train
earthquaake agadi k k ready rakhne,preparedness_tips_query,train
thanks for the hhelp,goodbye_thanks,train
यति नैहो धन्यवाद,goodbye_thanks,train
help chaincha ma darai xu,sos_help_request,train
cannot reach Pokhararoad is closed,road_blockage_report,train
pleaes help me,sos_help_request,train
need shelter for my family,shelter_request,train
haat ma minor chot xa,injury_report,train
मुख्य सडक बन्द छ है,road_blockage_report,train
my sister is trapped under debris,trapped_debris_report,train
emergency conatct numbers list,emergency_contact_request,train
road block bhayo landslide le gaun najik,road_blockage_report,train
कठामाडौं मा घर भत्कियो,building_collapse_report,train
bhukampa pachi merosaathi lai bhettauna sakina,family_member_missing,train
भूकम्पपछि भवनको सुरक्षाजाँच कसले गर्छ,building_damage_check,train
evacuation ko instructions diun hos???,evacuation_guidance_query,train
अर्को भूकम्प आउने छ कि,aftershock_information_query,train
ललितपुर जान सकिँदैनसडक बन्द छ,road_blockage_report,train
एकदमधन्यवाद,goodbye_thanks,train
nede ration for my mother,food_water_request,train
pcrkasari garne,first_aid_query,train
aago chittai failira xa hamro area ma,fire_incident_report,train
searching for my brother in Kathmandu urgent pls,family_member_missing,train
मेडिकल इमर्जेन्सी छ मद्दतगर्नुहोस्,medical_emergency_request,train
धन्यवाद दाई!!,goodbye_thanks,train
bridge collapsed near Pokhara plz,road_blockage_report,train
our house is unsafe need shelter help,shelter_request,train
हजुरलाई नमस्कार,greeting,train
भूकम्पपछिआलगागी भयो,fire_incident_report,train
my mother has beenlocated safely,family_reunification_status,train
गोर्खा निजकैको घरमा आगो लागेको छ प्लिज,fire_incident_report,train
हजुरआमा सुरक्षित हुनुहुन्छ भनेर स्थिति अपडेट गर्न चाहन्छु है,family_reunification_status,train
njik ko assembly point kaha cha asap,safe_location_query,train
छत खसेर हजुरआमा थुनिनुभयो हजुर,trapped_debris_report,train
mero aama ghar aaunu bhako xaina ahlie samma,family_member_missing,train
nepal red cross helplinenumber,emergency_contact_request,train
काठमाडौं को लागि पराकम्प चेतावनी प्लिज,aftershock_information_query,train
i needhelp now,sos_help_request,train
thanks,goodbye_thanks,train
काठमाडौं नजिक ग्यास चुहावटभयो,gas_leak_report,train
aago lagyo buhkampa pachi,fire_incident_report,train
khutt ma chot lagyo running bela now,injury_report,train
my grndmother is stuck under the roof,trapped_debris_report,train
अहिले बुबा सँग भेट भयो,family_reunification_status,train
need rattion for my mother,food_water_request,train
ghar bhitra farkana milxa ki,building_damage_check,train
my mother has a de pwound,injury_report,train
safe place kaha chaa sap,safe_location_query,train
searching for my grandfather in Lalitpur,family_member_missing,train
fire broke out aftert he earthquake,fire_incident_report,train
छत खसेर छोरा थुनिनुभयो???,trapped_debris_report,train
burned my hand slightly urgent pls,injury_report,train
hey QSFAE,greeting,train
how long do aftershocks cntinue,aftershock_information_query,train
कुन खुल्ला ठाउँभेला हुन सुरक्षित छ,safe_location_query,train
भवनबाट निकाास गर्ने चरणहरू!!,evacuation_guidance_query,train
bhachiyeko haat o first aid k ho,first_aid_query,train
mero aama ghar aaunu bhako axina ahile samma,family_member_missing,train
hamro area najik ko pul bhatkiyo,road_blockage_report,train
gas laek near Pokhara,gas_leak_report,train
we just felt an earthquake in GGorkha,earthquake_occurring_report,train
bhukampa dekhi bijuli xaiina,power_outage_report,train
my hous ehsa cracks is it safe,building_damage_check,train
heello,greeting,train
serching for my brother in Kathmandu urgent pls,family_member_missing,train
taauko bataraagat bagira xa,injury_report,train
merobahi lai safely locate garya,family_reunification_status,train
जे पनि टाइप गर्दैछु प्लिज,fallback_unclear,train
evacuation ko route k ho asap,evacuation_guidance_query,train
fire brigade contact unmber,emergency_contact_request,train
आपतकालीन किटमा के के हुनुपर्छ,preparedness_tips_query,train
पोखरा नजिकैको घरमा आगो लागेको छ???,fire_incident_report,train
hiare u working offline,greeting,train
निकासाको मार्ग के हो प्लिज,evacuation_guidance_query,train
हाम्रो घर असुरक्षित छ आश्रय चाहियो,shelter_request,train
थाहा छैन हजुर,fallback_unclear,train
erthquake in Pokhara,earthquake_occurring_report,train
building ma fire xa school najik najik,fire_incident_report,train
found my family member safe,family_reunification_status,train
ाकठमाडौं नजिक ग्यास चुहावट भयो!!,gas_leak_report,train
"namaste bot,are u online",greeting,train
relief cmp najik cha ki pls,shelter_request,train
earthquakepreparedness tips please,preparedness_tips_query,train
anyone there help,sos_help_request,train
thanks yesto helpfu huncha,goodbye_thanks,train
राहत शिविरमा हजुरआमाभेिटयो,family_reunification_status,train
rod blocked by ladnslide near Gorkha,road_blockage_report,train
बिजुलीकहिले आउँछ,power_outage_report,train
mreo aama sanga abhi reunite bhayo plz,family_reunification_status,train
मद्दत गर है,sos_help_request,train
ललितपुर मा बिजुली गएको छ है,power_outage_report,train
पोखराम ातोकिएको सुरक्षित क्षेत्र कहाँ छ,safe_location_query,train
everythign is sahking,earthquake_occurring_report,train
bhukampa kojhatka aaile feel bhayo,earthquake_occurring_report,train
ok gt it dhanyabad bahini,goodbye_thanks,train
strong tremor felt just now,earthquake_occurring_report,train
hello madam,greeting,train
brick khaseko le lagyo asap,injury_report,train
जाजरकोट नजिकैको घरमा आगो लागेको छ!!,fire_incident_report,train
mero aama pinned under debris malai help chai,trapped_debris_report,train
mero buwa pinned under debris mala help chai,trapped_debris_report,train
ghar bhatkiyo Kathmandu ma,building_collapse_report,train
mero bwua sanga abhi reunite bhayo,family_reunification_status,train
our house collpsed completely,building_collapse_report,train
छोरी को बेपत्ता व्यक्ति रिपोर्ट,family_member_missing,train
पराकम्पको जानकारी दिनुोहस्,aftershock_information_query,train
यहाँ सफा पानी उपलब्ध छैन,food_water_request,train
ललितपुर नजिक ग्यास चुहावट भयो,gas_leak_report,train
cannot move stuck under concrete malai,trapped_debris_report,train
who inspects building safety after earthquake,building_damage_check,train
mausam kasto cha,fallback_unclear,train
शुभसाँझ,greeting,train
much aappreciated,goodbye_thanks,train
how strong will aftershocks be,aftershock_information_query,train
building bata evacuate gane steps,evacuation_guidance_query,train
bhukampa report garna man xa hamro area ma urgent pls,earthquake_occurring_report,train
shelter needed for my mother andd kids,shelter_request,train
gs ko smell airaxa bhukmapa pachi,gas_leak_report,train
apartment bloc kcollapsed nearby,building_collapse_report,train
Kathmandu najik gas leak bhayo urgent pls,gas_leak_report,train
ghau bhayeko thau ma kasari treat gare,first_aid_query,train
ललितपुर नजिकपहिरोले सडक बन्द भयो,road_blockage_report,train
need hhelp,sos_help_request,train
polekothau ko first aid,first_aid_query,train
building on fire near Jajarkot???,fire_incident_report,train
बहिनी नमस्ते िछटो,greeting,train
भवन अलिकति ढल्किएको छ खतरा छ कि हजुर,building_damage_check,train
mero bhai bhukampa pachi missin ghunuhuncha,family_member_missing,train
दाजुअझै घर आउनुभएको छैन,family_member_missing,train
there are cracks in the wall,building_damage_check,train
namaste ma euta prashna sodhnachahanchu,greeting,train
raati basna tent chai,shelter_request,train
mero buwa pinned under debris malai help chai,trapped_debris_report,train
ध्नयवादबहिनी,goodbye_thanks,train
my father is missing since the earthquake,family_member_missing,train
my motehr is stuck under the roof,trapped_debris_report,train
najik ko assembly point kaha cha,safe_location_query,train
found mmy mother at the relief camp,family_reunification_status,train
safest way to leave the building,evacuation_guidance_query,train
bhukampa gayo Kathmandu ma!!!,earthquake_occurring_report,train
गोर्खा मा तोकिएको सुरक्षित क्षेत्र कहाँ छ???,safe_location_query,train
is aonther earthquake coming,aftershock_information_query,train
thank u dai maali thaha bhayo,goodbye_thanks,train
tent camp ko location chai,shelter_request,train
cylinder leaking gas,gas_leak_report,train
काठमाडौं मा आगो छिट्टै फैलिँदैछ हजुर,fire_incident_report,train
guide me on whatt to do,status_check_general,train
i need help,sos_help_request,train
डाक्टर तुरुन्तै चाहियो,medical_emergency_request,train
ghau ma bandage kasari garne,first_aid_query,train
which open area is safe to agther,safe_location_query,train
bhukampa achi crack aayo,building_damage_check,train
aftershokc warning for Bhaktapur help,aftershock_information_query,train
tahnnk u so much,goodbye_thanks,train
building on fire near Jajarkot asap,fire_incident_report,train
अहिले दिदी सँग भेटभयो,family_reunification_status,train
उद्धारकालागि कहाँ फोन गर्ने,emergency_contact_request,train
how ol dare you,fallback_unclear,train
please help me,sos_help_request,train
how to plna family emergency meeting point,preparedness_tips_query,train
धन्यबा दहै छिटो,goodbye_thanks,train
भवन अलिकति ढल्किएको छ खतरा छ कि,building_damage_check,train
गोर्खा मा सम्पूर्ण भवन ढल्यो,building_collapse_report,train
yo,greeting,train
पोखरा को लागि निकासा योजना,evacuation_guidance_query,train
ललितपुर मा आमा लाई खोजिरहेको छु!!,family_member_missing,train
mero didi laai safely locate garya,family_reunification_status,train
hey,greeting,train
entire building came down in Bhatkapur,building_collapse_report,train
cpr kasari garne,first_aid_query,train
छत खसेरहजुरआमा थुनिनुभयो,trapped_debris_report,train
building bata bahira niiskane safest tarika,evacuation_guidance_query,train
mysister collapsed and not waking up,medical_emergency_request,train
hey bhauuj k cha asap,greeting,train
mero bhailai deep wound xa,injury_report,train
cannot reeach Lalitpur road is closed,road_blockage_report,train
निकासाका निर्देशनहरू दिनुहोस्,evacuation_guidance_query,train
cylinderleaking gas,gas_leak_report,train
bhukampa ko jhatka aaile feel bhayo,earthquake_occurring_report,train
छोरा भग्नाशवेषमुनि थुनिनुभयो,trapped_debris_report,train
will there beaftershocks,aftershock_information_query,train
earthquake in Lalitpur,earthquake_occurring_report,train
earthquake preparedness tips please pls,preparedness_tips_query,train
help me pls im scared plz,sos_help_request,train
trapped xu ghar bhatkeko debrsi muni,trapped_debris_report,train
