text,intent,predicted_intent,confidence,source,is_correct
bye now,goodbye_thanks,goodbye_thanks,0.9495,ml,True
goodbye for now,goodbye_thanks,goodbye_thanks,0.9369,ml,True
bye for now,goodbye_thanks,goodbye_thanks,0.9336,ml,True
goodbye see you,goodbye_thanks,goodbye_thanks,0.8187,ml,True
bye see you,goodbye_thanks,goodbye_thanks,0.7139,ml,True
goodbye take care,goodbye_thanks,goodbye_thanks,0.9426,ml,True
bye take care,goodbye_thanks,goodbye_thanks,0.9212,ml,True
goodbye be safe,goodbye_thanks,goodbye_thanks,0.885,ml,True
bye be safe,goodbye_thanks,goodbye_thanks,0.8279,ml,True
ok bye,goodbye_thanks,goodbye_thanks,1.0,keyword,True
okay bye,goodbye_thanks,goodbye_thanks,0.95,keyword_fuzzy,True
ok bye bye,goodbye_thanks,goodbye_thanks,0.9906,ml,True
okay bye bye,goodbye_thanks,goodbye_thanks,0.9749,ml,True
ok thank you bye,goodbye_thanks,goodbye_thanks,0.9994,ml,True
okay thank you bye,goodbye_thanks,goodbye_thanks,0.9977,ml,True
that's it bye,goodbye_thanks,goodbye_thanks,0.9605,ml,True
that's it goodbye,goodbye_thanks,goodbye_thanks,0.9689,ml,True
dhanyawaad sahayata ko lagi please,goodbye_thanks,shelter_request,0.2966,ml,False
goodbye take care qsafe,goodbye_thanks,goodbye_thanks,0.9161,ml,True
help ok thank you bye,goodbye_thanks,goodbye_thanks,0.999,ml,True
help dhanyabad,goodbye_thanks,goodbye_thanks,0.8767,ml,True
thanks for everything qsafe,goodbye_thanks,goodbye_thanks,0.9198,ml,True
goodbye see you qsafe,goodbye_thanks,goodbye_thanks,0.7843,ml,True
dhanyabad tapaimko sahayata ko lagi help,goodbye_thanks,goodbye_thanks,0.6512,ml,True
dhanyabad sahayata ko lagi please,goodbye_thanks,goodbye_thanks,0.6208,ml,True
qsafe that's it bye,goodbye_thanks,goodbye_thanks,0.934,ml,True
dhanyabad dherai urgent,goodbye_thanks,goodbye_thanks,0.8045,ml,True
thank you very much now,goodbye_thanks,goodbye_thanks,0.9859,ml,True
okay bye bye now,goodbye_thanks,goodbye_thanks,0.9694,ml,True
help,sos_help_request,sos_help_request,1.0,keyword,True
help me,sos_help_request,sos_help_request,1.0,keyword,True
help please,sos_help_request,sos_help_request,0.9362,ml,True
help pls,sos_help_request,sos_help_request,0.9715,ml,True
sos,sos_help_request,sos_help_request,1.0,keyword,True
please help me,sos_help_request,sos_help_request,0.95,keyword_fuzzy,True
malai bachau please,sos_help_request,sos_help_request,0.7358,ml,True
malai sahayata chaincha,sos_help_request,fallback_unclear,0.2477,fallback,False
malai help chaincha,sos_help_request,sos_help_request,0.9618,ml,True
rescue me,sos_help_request,sos_help_request,1.0,keyword,True
please save me,sos_help_request,sos_help_request,0.8929,ml,True
please rescue me,sos_help_request,sos_help_request,0.8656,ml,True
save me please,sos_help_request,sos_help_request,0.8698,ml,True
rescue me now,sos_help_request,sos_help_request,0.838,ml,True
sos sos,sos_help_request,sos_help_request,0.8532,ml,True
sos sos sos,sos_help_request,sos_help_request,0.8108,ml,True
help help,sos_help_request,sos_help_request,0.9944,ml,True
help help help,sos_help_request,sos_help_request,0.9932,ml,True
someone help me,sos_help_request,sos_help_request,0.993,ml,True
everybody help me,sos_help_request,sos_help_request,0.9751,ml,True
please someone help me,sos_help_request,sos_help_request,0.9903,ml,True
sos rescue me,sos_help_request,sos_help_request,0.9715,ml,True
someone save me,sos_help_request,sos_help_request,0.9464,ml,True
anyone save me,sos_help_request,sos_help_request,0.9517,ml,True
everybody save me,sos_help_request,sos_help_request,0.7686,ml,True
please someone save me,sos_help_request,sos_help_request,0.9438,ml,True
everybody rescue me,sos_help_request,sos_help_request,0.8109,ml,True
nepal sos help me,sos_help_request,sos_help_request,0.9826,ml,True
everybody rescue me now,sos_help_request,sos_help_request,0.7926,ml,True
qsafe malai help chaincha,sos_help_request,sos_help_request,0.9174,ml,True
please help me now,sos_help_request,sos_help_request,0.9726,ml,True
rescue me now please,sos_help_request,sos_help_request,0.8894,ml,True
help help help qsafe,sos_help_request,sos_help_request,0.9788,ml,True
nepal please save me,sos_help_request,sos_help_request,0.8064,ml,True
sos save me qsafe,sos_help_request,sos_help_request,0.9239,ml,True
someone help me please,sos_help_request,sos_help_request,0.9907,ml,True
qsafe someone rescue me,sos_help_request,sos_help_request,0.8997,ml,True
malai help chaincha nepal,sos_help_request,sos_help_request,0.8984,ml,True
nepal malai sahayata chaincha,sos_help_request,fallback_unclear,0.2484,fallback,False
anyone save me now,sos_help_request,sos_help_request,0.9403,ml,True
emergency malai sahayata chaincha,sos_help_request,sos_help_request,0.3611,ml,True
sos rescue me help,sos_help_request,sos_help_request,0.9965,ml,True
help please someone save me,sos_help_request,sos_help_request,0.9931,ml,True
please help help help,sos_help_request,sos_help_request,0.9865,ml,True
earthquake now,earthquake_occurring_report,earthquake_occurring_report,1.0,keyword,True
earthquake happening now,earthquake_occurring_report,earthquake_occurring_report,0.95,keyword_fuzzy,True
earthquake occurring,earthquake_occurring_report,earthquake_occurring_report,0.9273,ml,True
bhukampa chal raha hai,earthquake_occurring_report,earthquake_occurring_report,0.8173,ml,True
घर हल्लियो,earthquake_occurring_report,earthquake_occurring_report,1.0,keyword,True
भूकम्प आयो,earthquake_occurring_report,earthquake_occurring_report,1.0,keyword,True
भूकम्प चल रहा है,earthquake_occurring_report,earthquake_occurring_report,0.8434,ml,True
ground moving,earthquake_occurring_report,fallback_unclear,0.1656,fallback,False
earthquake started,earthquake_occurring_report,earthquake_occurring_report,0.9224,ml,True
earthquake began,earthquake_occurring_report,earthquake_occurring_report,0.9372,ml,True
earthquake just started,earthquake_occurring_report,earthquake_occurring_report,0.9474,ml,True
bhukampa suru bhayo,earthquake_occurring_report,earthquake_occurring_report,0.9142,ml,True
bhukampa shuru hua,earthquake_occurring_report,earthquake_occurring_report,0.9594,ml,True
bhukampa mehsoos hua,earthquake_occurring_report,earthquake_occurring_report,0.9382,ml,True
major earthquake,earthquake_occurring_report,earthquake_occurring_report,0.8877,ml,True
bhukampa kathin,earthquake_occurring_report,earthquake_occurring_report,0.9712,ml,True
bhukampa gambhir,earthquake_occurring_report,earthquake_occurring_report,0.9783,ml,True
bhukampa sakht,earthquake_occurring_report,earthquake_occurring_report,0.9369,ml,True
light earthquake,earthquake_occurring_report,earthquake_occurring_report,0.9401,ml,True
small earthquake,earthquake_occurring_report,earthquake_occurring_report,0.9172,ml,True
minor earthquake,earthquake_occurring_report,earthquake_occurring_report,0.9018,ml,True
earthquake magnitude,earthquake_occurring_report,earthquake_occurring_report,0.9187,ml,True
bhukampa magnitude,earthquake_occurring_report,earthquake_occurring_report,0.962,ml,True
bhukampa kitna bada,earthquake_occurring_report,earthquake_occurring_report,0.9249,ml,True
bhukampa kitna kathin,earthquake_occurring_report,earthquake_occurring_report,0.9227,ml,True
earthquake duration,earthquake_occurring_report,earthquake_occurring_report,0.7851,ml,True
how long earthquake,earthquake_occurring_report,earthquake_occurring_report,0.8505,ml,True
earthquake how long,earthquake_occurring_report,earthquake_occurring_report,0.8935,ml,True
earthquake stopped,earthquake_occurring_report,earthquake_occurring_report,0.903,ml,True
earthquake ended,earthquake_occurring_report,earthquake_occurring_report,0.9504,ml,True
earthquake finished,earthquake_occurring_report,earthquake_occurring_report,0.9387,ml,True
bhukampa ruk gaya,earthquake_occurring_report,earthquake_occurring_report,0.9414,ml,True
aftershock coming,earthquake_occurring_report,aftershock_information_query,0.98,keyword,False
earthquake again,earthquake_occurring_report,aftershock_information_query,0.98,keyword,False
bhukampa phir,earthquake_occurring_report,earthquake_occurring_report,0.9426,ml,True
earthquake magnitude please,earthquake_occurring_report,earthquake_occurring_report,0.6297,ml,True
help earthquake began,earthquake_occurring_report,earthquake_occurring_report,0.7305,ml,True
bhukampa aayo cha nepal,earthquake_occurring_report,earthquake_occurring_report,0.859,ml,True
qsafe bhukampa suru bhayo,earthquake_occurring_report,earthquake_occurring_report,0.6721,ml,True
घर हल्लियो urgent,earthquake_occurring_report,earthquake_occurring_report,0.3742,ml,True
earthquake intensity emergency,earthquake_occurring_report,earthquake_occurring_report,0.7446,ml,True
help major earthquake,earthquake_occurring_report,earthquake_occurring_report,0.7037,ml,True
emergency earthquake happening now,earthquake_occurring_report,earthquake_occurring_report,0.7343,ml,True
emergency earth shaking,earthquake_occurring_report,earthquake_occurring_report,0.7503,ml,True
qsafe earthquake over,earthquake_occurring_report,earthquake_occurring_report,0.7164,ml,True
qsafe bhukampa kathin,earthquake_occurring_report,earthquake_occurring_report,0.7624,ml,True
bhukampa sakht urgent,earthquake_occurring_report,earthquake_occurring_report,0.7771,ml,True
bhukampa suru bhayo help,earthquake_occurring_report,earthquake_occurring_report,0.7553,ml,True
pinned under wall,trapped_debris_report,trapped_debris_report,0.98,keyword,True
पर्खालमुनि थुनिएँ,trapped_debris_report,trapped_debris_report,1.0,keyword,True
इमारतमुनि दबिएको,trapped_debris_report,trapped_debris_report,0.6274,ml,True
debris muni thuniyo,trapped_debris_report,trapped_debris_report,0.9805,ml,True
bhagnaveshesh muni fasko,trapped_debris_report,trapped_debris_report,0.98,keyword,True
imarat muni dabieko,trapped_debris_report,trapped_debris_report,0.98,keyword,True
can't get out,trapped_debris_report,trapped_debris_report,0.98,keyword,True
trapped inside,trapped_debris_report,trapped_debris_report,0.98,keyword,True
buried alive,trapped_debris_report,trapped_debris_report,0.98,keyword,True
बाहिर निस्कन सक्दिन,trapped_debris_report,evacuation_guidance_query,0.3976,ml,False
यहाँ फसेको,trapped_debris_report,trapped_debris_report,0.6354,ml,True
निस्कन सकिन,trapped_debris_report,evacuation_guidance_query,0.346,ml,False
भित्रै फसेको,trapped_debris_report,trapped_debris_report,0.8713,ml,True
bahar niskna sakdina,trapped_debris_report,evacuation_guidance_query,0.353,ml,False
bhitrai fasko,trapped_debris_report,trapped_debris_report,0.98,keyword,True
jivit dabieko,trapped_debris_report,trapped_debris_report,0.98,keyword,True
stuck under collapsed building,trapped_debris_report,trapped_debris_report,0.98,keyword,True
need rescue,trapped_debris_report,trapped_debris_report,0.98,keyword,True
malai uttaro,trapped_debris_report,trapped_debris_report,0.2999,ml,True
bachau malai,trapped_debris_report,trapped_debris_report,0.4968,ml,True
uttaro malai,trapped_debris_report,trapped_debris_report,0.2535,ml,True
trapped in earthquake,trapped_debris_report,trapped_debris_report,0.5073,ml,True
buried in rubble,trapped_debris_report,trapped_debris_report,0.5029,ml,True
भग्नावशेषले थुनिएको,trapped_debris_report,trapped_debris_report,0.9642,ml,True
bhukamppachi fasko,trapped_debris_report,trapped_debris_report,0.98,keyword,True
malinma dabieko,trapped_debris_report,trapped_debris_report,0.98,keyword,True
तत्काल सहायता,trapped_debris_report,medical_emergency_request,0.4915,ml,False
tatkal bachav chaincha,trapped_debris_report,fallback_unclear,0.1308,fallback,False
aapatkalin nikasi,trapped_debris_report,preparedness_tips_query,0.3201,ml,False
tatkal sahayata,trapped_debris_report,fallback_unclear,0.2282,fallback,False
children stuck,trapped_debris_report,trapped_debris_report,0.98,keyword,True
परिवार फसेको,trapped_debris_report,trapped_debris_report,0.5048,ml,True
बच्चा फसेको,trapped_debris_report,trapped_debris_report,0.9489,ml,True
वृद्ध दबिएका,trapped_debris_report,trapped_debris_report,0.7869,ml,True
help bachau malai,trapped_debris_report,sos_help_request,0.8095,ml,False
help bahar niskna sakdina,trapped_debris_report,fallback_unclear,0.2292,fallback,False
बच्चा फसेको emergency,trapped_debris_report,trapped_debris_report,0.8602,ml,True
help भित्रै फसेको,trapped_debris_report,trapped_debris_report,0.8524,ml,True
इमारतमुनि दबिएको please,trapped_debris_report,trapped_debris_report,0.5035,ml,True
qsafe debris muni thuniyo,trapped_debris_report,trapped_debris_report,0.974,ml,True
help children stuck,trapped_debris_report,trapped_debris_report,0.98,keyword,True
bhitrai fasko qsafe,trapped_debris_report,trapped_debris_report,0.98,keyword,True
trapped inside please,trapped_debris_report,trapped_debris_report,0.98,keyword,True
stuck under collapsed building emergency,trapped_debris_report,trapped_debris_report,0.98,keyword,True
need ambulance,medical_emergency_request,medical_emergency_request,0.98,keyword,True
call ambulance,medical_emergency_request,medical_emergency_request,0.98,keyword,True
ambulance please,medical_emergency_request,medical_emergency_request,0.98,keyword,True
emergency medical,medical_emergency_request,medical_emergency_request,0.4987,ml,True
एम्बुलेन्स चाहियो,medical_emergency_request,medical_emergency_request,0.9821,ml,True
एम्बुलेन्स बोलाउ,medical_emergency_request,medical_emergency_request,0.9078,ml,True
आपतकालीन चिकित्सा,medical_emergency_request,fallback_unclear,0.1786,fallback,False
ambulance chaincha,medical_emergency_request,medical_emergency_request,0.9203,ml,True
ambulance kripaya,medical_emergency_request,medical_emergency_request,0.9206,ml,True
hospital needed,medical_emergency_request,medical_emergency_request,0.98,keyword,True
अस्पताल चाहिन्छ,medical_emergency_request,fallback_unclear,0.1542,fallback,False
aspatal chaincha,medical_emergency_request,fallback_unclear,0.1672,fallback,False
tatkal chikitsa sahayata,medical_emergency_request,medical_emergency_request,0.4295,ml,True
not breathing,medical_emergency_request,medical_emergency_request,1.0,keyword,True
person collapsed,medical_emergency_request,building_collapse_report,0.7526,ml,False
बेहोश व्यक्ति,medical_emergency_request,family_member_missing,0.5071,ml,False
सास फेर्न नसक्ने,medical_emergency_request,fallback_unclear,0.0983,fallback,False
व्यक्ति ढलेको,medical_emergency_request,family_member_missing,0.3629,ml,False
behosh vyakti,medical_emergency_request,fallback_unclear,0.2432,fallback,False
sas pherna nasakne,medical_emergency_request,medical_emergency_request,0.4601,ml,True
nadi nabhaeko,medical_emergency_request,fallback_unclear,0.099,fallback,False
heart attack,medical_emergency_request,medical_emergency_request,1.0,keyword,True
heart failure,medical_emergency_request,fallback_unclear,0.2074,fallback,False
हृदयाघात,medical_emergency_request,medical_emergency_request,0.2709,ml,True
हृदय रोकिएको,medical_emergency_request,medical_emergency_request,0.4079,ml,True
severe bleeding,medical_emergency_request,medical_emergency_request,1.0,keyword,True
गम्भीर रगत बग्दै,medical_emergency_request,injury_report,0.8619,ml,False
भारी रगत बग्दै,medical_emergency_request,injury_report,0.2823,ml,False
रगत रोक्नु पर्छ,medical_emergency_request,family_reunification_status,0.3518,ml,False
bhari ragat bagdai,medical_emergency_request,medical_emergency_request,0.6559,ml,True
bone sticking out,medical_emergency_request,fallback_unclear,0.1257,fallback,False
had bahar niskieko,medical_emergency_request,fallback_unclear,0.1912,fallback,False
nepal ambulance chaincha,medical_emergency_request,medical_emergency_request,0.8706,ml,True
एम्बुलेन्स चाहियो nepal,medical_emergency_request,medical_emergency_request,0.9348,ml,True
emergency vyakti dhaleko,medical_emergency_request,medical_emergency_request,0.5491,ml,True
bone sticking out please,medical_emergency_request,fallback_unclear,0.21,fallback,False
गम्भीर रगत बग्दै please,medical_emergency_request,injury_report,0.7259,ml,False
रगत रोक्नु पर्छ now,medical_emergency_request,family_reunification_status,0.3231,ml,False
please tatkal chikitsa sahayata,medical_emergency_request,medical_emergency_request,0.4715,ml,True
fracture nepal,medical_emergency_request,fallback_unclear,0.1825,fallback,False
building on fire,fire_incident_report,fire_incident_report,1.0,keyword,True
house burning,fire_incident_report,fire_incident_report,0.98,keyword,True
आगो,fire_incident_report,fire_incident_report,1.0,keyword,True
imaratma aago,fire_incident_report,fire_incident_report,0.9235,ml,True
ghar baldai,fire_incident_report,building_collapse_report,0.2921,ml,False
smell smoke,fire_incident_report,fire_incident_report,0.98,keyword,True
धुवाँको गन्ध,fire_incident_report,gas_leak_report,0.7076,ml,False
jwala dekincha,fire_incident_report,fallback_unclear,0.0857,fallback,False
need fire brigade,fire_incident_report,fire_incident_report,0.98,keyword,True
fire truck needed,fire_incident_report,fire_incident_report,0.98,keyword,True
अग्निशमन बोलाउ,fire_incident_report,emergency_contact_request,0.3646,ml,False
अग्निशमन गाडी,fire_incident_report,fire_incident_report,0.315,ml,True
agnishman bolau,fire_incident_report,emergency_contact_request,0.3775,ml,False
agnishman gadi,fire_incident_report,emergency_contact_request,0.6603,ml,False
people trapped in fire,fire_incident_report,trapped_debris_report,0.8248,ml,False
can't escape fire,fire_incident_report,fire_incident_report,0.8135,ml,True
आगोबाट बाहिर निस्कन सकिदैन,fire_incident_report,fire_incident_report,0.4677,ml,True
आगोले निस्कने बाट रोक्यो,fire_incident_report,fire_incident_report,0.6519,ml,True
agoma faskaka manis,fire_incident_report,fire_incident_report,0.3914,ml,True
agobata bahar niskna sakidaina,fire_incident_report,family_member_missing,0.2829,ml,False
agole niskne bata rokyo,fire_incident_report,evacuation_guidance_query,0.8766,ml,False
ग्यास विस्फोट,fire_incident_report,gas_leak_report,0.8015,ml,False
gas visphot,fire_incident_report,gas_leak_report,0.9248,ml,False
qsafe gas aapatkala,fire_incident_report,gas_leak_report,0.3438,ml,False
ग्यासको गन्ध please,fire_incident_report,gas_leak_report,0.9598,ml,False
imaratma aago urgent,fire_incident_report,fire_incident_report,0.7436,ml,True
please need fire brigade,fire_incident_report,fire_incident_report,0.98,keyword,True
smell gas help,fire_incident_report,gas_leak_report,0.98,keyword,False
धुवाँको गन्ध urgent,fire_incident_report,gas_leak_report,0.4413,ml,False
agoma faskaka manis qsafe,fire_incident_report,fallback_unclear,0.1437,fallback,False
help smell gas,fire_incident_report,gas_leak_report,0.98,keyword,False
आगोबाट बाहिर निस्कन सकिदैन qsafe,fire_incident_report,evacuation_guidance_query,0.2792,ml,False
agole niskne bata rokyo now,fire_incident_report,evacuation_guidance_query,0.864,ml,False
help ग्यासको गन्ध,fire_incident_report,gas_leak_report,0.9876,ml,False
gas leak emergency,fire_incident_report,gas_leak_report,0.98,keyword,False
see fire emergency,fire_incident_report,fire_incident_report,0.98,keyword,True
emergency fire truck needed,fire_incident_report,fire_incident_report,0.98,keyword,True
agnishman bolau now,fire_incident_report,emergency_contact_request,0.3637,ml,False
gas odor,gas_leak_report,gas_leak_report,0.9781,ml,True
rotten egg smell,gas_leak_report,gas_leak_report,0.7343,ml,True
gas odor strong,gas_leak_report,gas_leak_report,0.6225,ml,True
ग्यासको गन्ध बलियो,gas_leak_report,gas_leak_report,0.9668,ml,True
सल्फरको गन्ध,gas_leak_report,gas_leak_report,0.592,ml,True
ग्यास गन्ध बलियो,gas_leak_report,gas_leak_report,0.9705,ml,True
anda ko gandh,gas_leak_report,fallback_unclear,0.1767,fallback,False
sulfur ko gandh,gas_leak_report,fallback_unclear,0.2224,fallback,False
gas hissing,gas_leak_report,gas_leak_report,0.9848,ml,True
leaking sound,gas_leak_report,gas_leak_report,0.3595,ml,True
lik awaz,gas_leak_report,building_collapse_report,0.7706,ml,False
gas awaz,gas_leak_report,gas_leak_report,0.8202,ml,True
gas line damaged,gas_leak_report,gas_leak_report,0.7997,ml,True
gas cylinder leak,gas_leak_report,gas_leak_report,0.98,keyword,True
एलपीजी लिक,gas_leak_report,fallback_unclear,0.0976,fallback,False
evacuate immediately,gas_leak_report,evacuation_guidance_query,0.98,keyword,False
gas danger zone,gas_leak_report,gas_leak_report,0.3066,ml,True
safe distance,gas_leak_report,safe_location_query,0.4896,ml,False
सुरक्षित दुरी,gas_leak_report,safe_location_query,0.689,ml,False
kshetr chodnu,gas_leak_report,fallback_unclear,0.1806,fallback,False
emergency rotten egg smell,gas_leak_report,gas_leak_report,0.349,ml,True
please gas odor strong,gas_leak_report,gas_leak_report,0.6506,ml,True
ग्यास गन्ध बलियो help,gas_leak_report,gas_leak_report,0.9573,ml,True
nepal evacuate immediately,gas_leak_report,evacuation_guidance_query,0.98,keyword,False
ग्यास हिसिसिङ emergency,gas_leak_report,gas_leak_report,0.4666,ml,True
help rotten egg smell,gas_leak_report,gas_leak_report,0.6123,ml,True
turuntai nisknu please,gas_leak_report,evacuation_guidance_query,0.5589,ml,False
gas gandh help,gas_leak_report,gas_leak_report,0.8685,ml,True
qsafe lpg leak,gas_leak_report,gas_leak_report,0.6637,ml,True
emergency gas leak,gas_leak_report,gas_leak_report,0.98,keyword,True
help तुरुन्तै निस्कनु,gas_leak_report,evacuation_guidance_query,0.5619,ml,False
nepal ग्यास गन्ध बलियो,gas_leak_report,gas_leak_report,0.9354,ml,True
please gas ko gandh,gas_leak_report,gas_leak_report,0.9053,ml,True
सल्फरको गन्ध emergency,gas_leak_report,gas_leak_report,0.3549,ml,True
rotten egg smell qsafe,gas_leak_report,gas_leak_report,0.4621,ml,True
anda ko gandh please,gas_leak_report,fallback_unclear,0.195,fallback,False
emergency एलपीजी लिक,gas_leak_report,sos_help_request,0.2531,ml,False
nepal ग्यासको गन्ध बलियो,gas_leak_report,gas_leak_report,0.9479,ml,True
इमारत ढली,building_collapse_report,safe_location_query,0.3244,ml,False
संरचना ढली,building_collapse_report,building_collapse_report,0.3789,ml,True
ghar dhalyo,building_collapse_report,building_collapse_report,0.7383,ml,True
sanrachana dhali,building_collapse_report,building_collapse_report,0.98,keyword,True
bhavan dhalyo,building_collapse_report,building_collapse_report,0.6984,ml,True
multi-story collapse,building_collapse_report,building_collapse_report,0.8757,ml,True
apartment collapse,building_collapse_report,building_collapse_report,0.95,keyword_fuzzy,True
commercial building collapse,building_collapse_report,building_collapse_report,0.9859,ml,True
बहुमञ्जिला ढली,building_collapse_report,building_collapse_report,0.2757,ml,True
अपार्टमेन्ट ढल्यो,building_collapse_report,building_collapse_report,0.8438,ml,True
व्यावसायिक इमारत ढली,building_collapse_report,safe_location_query,0.2625,ml,False
bahumanjila dhali,building_collapse_report,building_collapse_report,0.98,keyword,True
apartment dhalyo,building_collapse_report,building_collapse_report,0.835,ml,True
karyalaya bhavan dhalyo,building_collapse_report,building_collapse_report,0.5696,ml,True
people trapped inside,building_collapse_report,trapped_debris_report,0.98,keyword,False
residents trapped,building_collapse_report,trapped_debris_report,0.9568,ml,False
people buried,building_collapse_report,trapped_debris_report,0.98,keyword,False
भित्र फसेका मानिस,building_collapse_report,trapped_debris_report,0.8209,ml,False
अधिवासी फसेका,building_collapse_report,trapped_debris_report,0.7834,ml,False
मानिस दबिएका,building_collapse_report,trapped_debris_report,0.8581,ml,False
bhitra faskaka manis,building_collapse_report,trapped_debris_report,0.98,keyword,False
basinda faskaka,building_collapse_report,trapped_debris_report,0.98,keyword,False
adhivasi faskaka,building_collapse_report,trapped_debris_report,0.98,keyword,False
manis dabieka,building_collapse_report,trapped_debris_report,0.98,keyword,False
concrete chunks,building_collapse_report,building_collapse_report,0.98,keyword,True
मलिनको ढेर,building_collapse_report,trapped_debris_report,0.3721,ml,False
स्टील बाँकिएको,building_collapse_report,trapped_debris_report,0.4038,ml,False
malin ko dher,building_collapse_report,fallback_unclear,0.0985,fallback,False
concrete tukra,building_collapse_report,fallback_unclear,0.1089,fallback,False
huge noise,building_collapse_report,fallback_unclear,0.1426,fallback,False
ठूलो आवाज,building_collapse_report,gas_leak_report,0.3805,ml,False
भवन आवाज,building_collapse_report,building_collapse_report,0.7084,ml,True
इमारत ध्वनि,building_collapse_report,safe_location_query,0.3022,ml,False
qsafe apartment dhalyo,building_collapse_report,building_collapse_report,0.7223,ml,True
manis dabieka qsafe,building_collapse_report,trapped_debris_report,0.98,keyword,False
help people buried,building_collapse_report,trapped_debris_report,0.98,keyword,False
nepal इमारत ढली,building_collapse_report,safe_location_query,0.2733,ml,False
help ghar dhalyo,building_collapse_report,sos_help_request,0.3907,ml,False
karyalaya bhavan dhalyo emergency,building_collapse_report,building_collapse_report,0.5043,ml,True
nepal karyalaya bhavan dhalyo,building_collapse_report,building_collapse_report,0.5954,ml,True
emergency apartment collapse,building_collapse_report,building_collapse_report,0.8991,ml,True
संरचना ढली now,building_collapse_report,building_damage_check,0.3853,ml,False
help huge noise,building_collapse_report,sos_help_request,0.7693,ml,False
qsafe sanrachana dhali,building_collapse_report,building_collapse_report,0.98,keyword,True
structural integrity,building_damage_check,building_damage_check,0.98,keyword,True
मेरो घर सुरक्षित छ,building_damage_check,safe_location_query,0.2771,ml,False
mero ghar surakshit cha,building_damage_check,building_damage_check,0.98,keyword,True
sanrachanatmak akhanda,building_damage_check,building_damage_check,0.98,keyword,True
kshati mulyankan,building_damage_check,fallback_unclear,0.1406,fallback,False
cracks in walls,building_damage_check,building_damage_check,0.95,keyword_fuzzy,True
आधार क्षति,building_damage_check,fallback_unclear,0.2466,fallback,False
संरचनात्मक फुट,building_damage_check,building_damage_check,0.7999,ml,True
adhar kshati,building_damage_check,building_damage_check,0.98,keyword,True
sanrachanatmak phut,building_damage_check,building_damage_check,0.98,keyword,True
safe to enter,building_damage_check,safe_location_query,0.2808,ml,False
building stable,building_damage_check,building_collapse_report,0.4647,ml,False
