text,intent,split,source
thank you for information,goodbye_thanks,real_world_test,generated
dhanyabad jankari ko lagi,goodbye_thanks,real_world_test,generated
thanks for answering,goodbye_thanks,real_world_test,generated
thank you for listening,goodbye_thanks,real_world_test,generated
dhanyabad sunune ko lagi,goodbye_thanks,real_world_test,generated
thanks for understanding,goodbye_thanks,real_world_test,generated
thank you for caring,goodbye_thanks,real_world_test,generated
dhanyabad chintan ko lagi,goodbye_thanks,real_world_test,generated
thanks for concern,goodbye_thanks,real_world_test,generated
thank you for assistance,goodbye_thanks,real_world_test,generated
dhanyabad sahayata ko lagi,goodbye_thanks,real_world_test,generated
thanks for help,goodbye_thanks,real_world_test,generated
goodbye,goodbye_thanks,real_world_test,generated
bye,goodbye_thanks,real_world_test,generated
good bye,goodbye_thanks,real_world_test,generated
bye bye,goodbye_thanks,real_world_test,generated
goodbye qsafe,goodbye_thanks,real_world_test,generated
bye qsafe,goodbye_thanks,real_world_test,generated
goodbye now,goodbye_thanks,real_world_test,generated
bye now,goodbye_thanks,real_world_test,generated
goodbye for now,goodbye_thanks,real_world_test,generated
bye for now,goodbye_thanks,real_world_test,generated
goodbye see you,goodbye_thanks,real_world_test,generated
bye see you,goodbye_thanks,real_world_test,generated
goodbye take care,goodbye_thanks,real_world_test,generated
bye take care,goodbye_thanks,real_world_test,generated
goodbye stay safe,goodbye_thanks,real_world_test,generated
bye stay safe,goodbye_thanks,real_world_test,generated
goodbye be safe,goodbye_thanks,real_world_test,generated
bye be safe,goodbye_thanks,real_world_test,generated
ok bye,goodbye_thanks,real_world_test,generated
okay bye,goodbye_thanks,real_world_test,generated
ok goodbye,goodbye_thanks,real_world_test,generated
okay goodbye,goodbye_thanks,real_world_test,generated
ok bye bye,goodbye_thanks,real_world_test,generated
okay bye bye,goodbye_thanks,real_world_test,generated
ok thanks bye,goodbye_thanks,real_world_test,generated
okay thanks bye,goodbye_thanks,real_world_test,generated
ok thank you bye,goodbye_thanks,real_world_test,generated
okay thank you bye,goodbye_thanks,real_world_test,generated
that's all bye,goodbye_thanks,real_world_test,generated
that's all goodbye,goodbye_thanks,real_world_test,generated
that's it bye,goodbye_thanks,real_world_test,generated
that's it goodbye,goodbye_thanks,real_world_test,generated
BYE FOR NOW,goodbye_thanks,real_world_test,generated
dhanyabad qsafe,goodbye_thanks,real_world_test,generated
dhanyawaad sahayata ko lagi please,goodbye_thanks,real_world_test,generated
dhanyabad tapaimko sahayata ko lagi,goodbye_thanks,real_world_test,generated
GOODBYE BE SAFE,goodbye_thanks,real_world_test,generated
goodbye take care qsafe,goodbye_thanks,real_world_test,generated
help ok thank you bye,goodbye_thanks,real_world_test,generated
dhanyabad dherai emergency,goodbye_thanks,real_world_test,generated
thanks for concern,goodbye_thanks,real_world_test,generated
DHANYABAD,goodbye_thanks,real_world_test,generated
thank you for your help please,goodbye_thanks,real_world_test,generated
bye emergency,goodbye_thanks,real_world_test,generated
help dhanyabad,goodbye_thanks,real_world_test,generated
thanks for everything qsafe,goodbye_thanks,real_world_test,generated
goodbye see you qsafe,goodbye_thanks,real_world_test,generated
bye bye urgent,goodbye_thanks,real_world_test,generated
dhanyabad tapaimko sahayata ko lagi help,goodbye_thanks,real_world_test,generated
please goodbye now,goodbye_thanks,real_world_test,generated
ok goodbye nepal,goodbye_thanks,real_world_test,generated
qsafe thank you,goodbye_thanks,real_world_test,generated
ok goodbye,goodbye_thanks,real_world_test,generated
bye take care urgent,goodbye_thanks,real_world_test,generated
please thanks for answering,goodbye_thanks,real_world_test,generated
dhanyabad sahayata ko lagi please,goodbye_thanks,real_world_test,generated
qsafe that's it bye,goodbye_thanks,real_world_test,generated
THANKS FOR ANSWERING,goodbye_thanks,real_world_test,generated
dhanyabad dherai urgent,goodbye_thanks,real_world_test,generated
thank you very much now,goodbye_thanks,real_world_test,generated
okay bye bye now,goodbye_thanks,real_world_test,generated
please bye now,goodbye_thanks,real_world_test,generated
ok goodbye,goodbye_thanks,real_world_test,generated
bye stay safe help,goodbye_thanks,real_world_test,generated
BYE BYE,goodbye_thanks,real_world_test,generated
nepal that's it goodbye,goodbye_thanks,real_world_test,generated
THANKS FOR UNDERSTANDING,goodbye_thanks,real_world_test,generated
please goodbye qsafe,goodbye_thanks,real_world_test,generated
emergency ok bye bye,goodbye_thanks,real_world_test,generated
help,sos_help_request,real_world_test,generated
help me,sos_help_request,real_world_test,generated
help please,sos_help_request,real_world_test,generated
help pls,sos_help_request,real_world_test,generated
sos,sos_help_request,real_world_test,generated
sos help,sos_help_request,real_world_test,generated
emergency help,sos_help_request,real_world_test,generated
urgent help,sos_help_request,real_world_test,generated
need help,sos_help_request,real_world_test,generated
i need help,sos_help_request,real_world_test,generated
please help me,sos_help_request,real_world_test,generated
malai bachau,sos_help_request,real_world_test,generated
malai bachau please,sos_help_request,real_world_test,generated
malai sahayata chaincha,sos_help_request,real_world_test,generated
malai help chaincha,sos_help_request,real_world_test,generated
save me,sos_help_request,real_world_test,generated
rescue me,sos_help_request,real_world_test,generated
please save me,sos_help_request,real_world_test,generated
please rescue me,sos_help_request,real_world_test,generated
save me please,sos_help_request,real_world_test,generated
rescue me please,sos_help_request,real_world_test,generated
save me now,sos_help_request,real_world_test,generated
rescue me now,sos_help_request,real_world_test,generated
save me immediately,sos_help_request,real_world_test,generated
rescue me immediately,sos_help_request,real_world_test,generated
help sos,sos_help_request,real_world_test,generated
sos sos,sos_help_request,real_world_test,generated
sos sos sos,sos_help_request,real_world_test,generated
emergency sos,sos_help_request,real_world_test,generated
urgent sos,sos_help_request,real_world_test,generated
help emergency,sos_help_request,real_world_test,generated
emergency emergency,sos_help_request,real_world_test,generated
urgent urgent,sos_help_request,real_world_test,generated
help help,sos_help_request,real_world_test,generated
help help help,sos_help_request,real_world_test,generated
someone help me,sos_help_request,real_world_test,generated
anyone help me,sos_help_request,real_world_test,generated
everybody help me,sos_help_request,real_world_test,generated
please someone help me,sos_help_request,real_world_test,generated
sos help me,sos_help_request,real_world_test,generated
sos save me,sos_help_request,real_world_test,generated
sos rescue me,sos_help_request,real_world_test,generated
emergency help me,sos_help_request,real_world_test,generated
urgent help me,sos_help_request,real_world_test,generated
someone save me,sos_help_request,real_world_test,generated
anyone save me,sos_help_request,real_world_test,generated
everybody save me,sos_help_request,real_world_test,generated
please someone save me,sos_help_request,real_world_test,generated
sos rescue me,sos_help_request,real_world_test,generated
sos save me,sos_help_request,real_world_test,generated
sos help me,sos_help_request,real_world_test,generated
emergency save me,sos_help_request,real_world_test,generated
urgent save me,sos_help_request,real_world_test,generated
someone rescue me,sos_help_request,real_world_test,generated
anyone rescue me,sos_help_request,real_world_test,generated
everybody rescue me,sos_help_request,real_world_test,generated
please someone rescue me,sos_help_request,real_world_test,generated
nepal sos help me,sos_help_request,real_world_test,generated
everybody rescue me now,sos_help_request,real_world_test,generated
anyone help me please,sos_help_request,real_world_test,generated
ANYONE SAVE ME,sos_help_request,real_world_test,generated
emergency help please,sos_help_request,real_world_test,generated
qsafe malai help chaincha,sos_help_request,real_world_test,generated
PLEASE RESCUE ME,sos_help_request,real_world_test,generated
anyone rescue me please,sos_help_request,real_world_test,generated
EVERYBODY RESCUE ME,sos_help_request,real_world_test,generated
please rescue me immediately,sos_help_request,real_world_test,generated
emergency urgent sos,sos_help_request,real_world_test,generated
someone rescue me now,sos_help_request,real_world_test,generated
please help me now,sos_help_request,real_world_test,generated
rescue me now please,sos_help_request,real_world_test,generated
please emergency help me,sos_help_request,real_world_test,generated
nepal someone save me,sos_help_request,real_world_test,generated
emergency urgent help me,sos_help_request,real_world_test,generated
sos emergency,sos_help_request,real_world_test,generated
sos save me,sos_help_request,real_world_test,generated
help help help qsafe,sos_help_request,real_world_test,generated
save me,sos_help_request,real_world_test,generated
urgent sos urgent,sos_help_request,real_world_test,generated
nepal please save me,sos_help_request,real_world_test,generated
sos save me qsafe,sos_help_request,real_world_test,generated
someone help me please,sos_help_request,real_world_test,generated
urgent help me now,sos_help_request,real_world_test,generated
qsafe someone rescue me,sos_help_request,real_world_test,generated
sos save me,sos_help_request,real_world_test,generated
malai help chaincha nepal,sos_help_request,real_world_test,generated
qsafe help please,sos_help_request,real_world_test,generated
rescue me please urgent,sos_help_request,real_world_test,generated
PLEASE SAVE ME,sos_help_request,real_world_test,generated
nepal malai sahayata chaincha,sos_help_request,real_world_test,generated
nepal anyone help me,sos_help_request,real_world_test,generated
anyone save me now,sos_help_request,real_world_test,generated
emergency malai sahayata chaincha,sos_help_request,real_world_test,generated
emergency emergency urgent,sos_help_request,real_world_test,generated
nepal please someone rescue me,sos_help_request,real_world_test,generated
sos rescue me help,sos_help_request,real_world_test,generated
please i need help,sos_help_request,real_world_test,generated
need help please,sos_help_request,real_world_test,generated
help please someone save me,sos_help_request,real_world_test,generated
please help help help,sos_help_request,real_world_test,generated
earthquake now,earthquake_occurring_report,real_world_test,generated
earthquake happening now,earthquake_occurring_report,real_world_test,generated
earthquake right now,earthquake_occurring_report,real_world_test,generated
earthquake occurring,earthquake_occurring_report,real_world_test,generated
bhukampa aayo,earthquake_occurring_report,real_world_test,generated
bhukampa aayo hai,earthquake_occurring_report,real_world_test,generated
bhukampa aayo cha,earthquake_occurring_report,real_world_test,generated
bhukampa chal raha hai,earthquake_occurring_report,real_world_test,generated
घर हल्लियो,earthquake_occurring_report,real_world_test,generated
भूकम्प आयो,earthquake_occurring_report,real_world_test,generated
भूकम्प चल रहा है,earthquake_occurring_report,real_world_test,generated
जमीन हिल रही है,earthquake_occurring_report,real_world_test,generated
ground shaking,earthquake_occurring_report,real_world_test,generated
ground moving,earthquake_occurring_report,real_world_test,generated
earth shaking,earthquake_occurring_report,real_world_test,generated
building shaking,earthquake_occurring_report,real_world_test,generated
earthquake started,earthquake_occurring_report,real_world_test,generated
earthquake began,earthquake_occurring_report,real_world_test,generated
earthquake just started,earthquake_occurring_report,real_world_test,generated
earthquake just began,earthquake_occurring_report,real_world_test,generated
bhukampa suru bhayo,earthquake_occurring_report,real_world_test,generated
bhukampa shuru hua,earthquake_occurring_report,real_world_test,generated
bhukampa aayo abhi,earthquake_occurring_report,real_world_test,generated
feel earthquake,earthquake_occurring_report,real_world_test,generated
feeling earthquake,earthquake_occurring_report,real_world_test,generated
i feel earthquake,earthquake_occurring_report,real_world_test,generated
we feel earthquake,earthquake_occurring_report,real_world_test,generated
bhukampa laagyo,earthquake_occurring_report,real_world_test,generated
bhukampa mehsoos ho raha hai,earthquake_occurring_report,real_world_test,generated
bhukampa mehsoos hua,earthquake_occurring_report,real_world_test,generated
strong earthquake,earthquake_occurring_report,real_world_test,generated
big earthquake,earthquake_occurring_report,real_world_test,generated
major earthquake,earthquake_occurring_report,real_world_test,generated
severe earthquake,earthquake_occurring_report,real_world_test,generated
bhukampa kathin,earthquake_occurring_report,real_world_test,generated
bhukampa bada,earthquake_occurring_report,real_world_test,generated
bhukampa gambhir,earthquake_occurring_report,real_world_test,generated
bhukampa sakht,earthquake_occurring_report,real_world_test,generated
light earthquake,earthquake_occurring_report,real_world_test,generated
small earthquake,earthquake_occurring_report,real_world_test,generated
minor earthquake,earthquake_occurring_report,real_world_test,generated
weak earthquake,earthquake_occurring_report,real_world_test,generated
bhukampa halka,earthquake_occurring_report,real_world_test,generated
bhukampa chhota,earthquake_occurring_report,real_world_test,generated
bhukampa kamjor,earthquake_occurring_report,real_world_test,generated
bhukampa kam,earthquake_occurring_report,real_world_test,generated
earthquake magnitude,earthquake_occurring_report,real_world_test,generated
earthquake size,earthquake_occurring_report,real_world_test,generated
earthquake intensity,earthquake_occurring_report,real_world_test,generated
earthquake strength,earthquake_occurring_report,real_world_test,generated
bhukampa magnitude,earthquake_occurring_report,real_world_test,generated
bhukampa size,earthquake_occurring_report,real_world_test,generated
bhukampa intensity,earthquake_occurring_report,real_world_test,generated
bhukampa strength,earthquake_occurring_report,real_world_test,generated
how big earthquake,earthquake_occurring_report,real_world_test,generated
how strong earthquake,earthquake_occurring_report,real_world_test,generated
earthquake how big,earthquake_occurring_report,real_world_test,generated
earthquake how strong,earthquake_occurring_report,real_world_test,generated
bhukampa kitna bada,earthquake_occurring_report,real_world_test,generated
bhukampa kitna sakht,earthquake_occurring_report,real_world_test,generated
bhukampa kitna kathin,earthquake_occurring_report,real_world_test,generated
earthquake duration,earthquake_occurring_report,real_world_test,generated
how long earthquake,earthquake_occurring_report,real_world_test,generated
earthquake how long,earthquake_occurring_report,real_world_test,generated
bhukampa kitna lamba,earthquake_occurring_report,real_world_test,generated
earthquake stopped,earthquake_occurring_report,real_world_test,generated
earthquake ended,earthquake_occurring_report,real_world_test,generated
earthquake finished,earthquake_occurring_report,real_world_test,generated
earthquake over,earthquake_occurring_report,real_world_test,generated
bhukampa ruk gaya,earthquake_occurring_report,real_world_test,generated
bhukampa khatam ho gaya,earthquake_occurring_report,real_world_test,generated
bhukampa samapt ho gaya,earthquake_occurring_report,real_world_test,generated
aftershock coming,earthquake_occurring_report,real_world_test,generated
aftershocks expected,earthquake_occurring_report,real_world_test,generated
more earthquakes coming,earthquake_occurring_report,real_world_test,generated
bhukampa pachhi,earthquake_occurring_report,real_world_test,generated
earthquake again,earthquake_occurring_report,real_world_test,generated
another earthquake,earthquake_occurring_report,real_world_test,generated
second earthquake,earthquake_occurring_report,real_world_test,generated
bhukampa phir,earthquake_occurring_report,real_world_test,generated
more earthquakes coming urgent,earthquake_occurring_report,real_world_test,generated
more earthquakes coming urgent,earthquake_occurring_report,real_world_test,generated
earthquake magnitude please,earthquake_occurring_report,real_world_test,generated
help earthquake began,earthquake_occurring_report,real_world_test,generated
EARTHQUAKE HOW LONG,earthquake_occurring_report,real_world_test,generated
bhukampa aayo cha nepal,earthquake_occurring_report,real_world_test,generated
earth shaking,earthquake_occurring_report,real_world_test,generated
qsafe bhukampa suru bhayo,earthquake_occurring_report,real_world_test,generated
how big earthquake emergency,earthquake_occurring_report,real_world_test,generated
घर हल्लियो urgent,earthquake_occurring_report,real_world_test,generated
earthquake intensity emergency,earthquake_occurring_report,real_world_test,generated
help bhukampa kitna sakht,earthquake_occurring_report,real_world_test,generated
help major earthquake,earthquake_occurring_report,real_world_test,generated
emergency earthquake happening now,earthquake_occurring_report,real_world_test,generated
emergency earth shaking,earthquake_occurring_report,real_world_test,generated
qsafe earthquake over,earthquake_occurring_report,real_world_test,generated
qsafe bhukampa kathin,earthquake_occurring_report,real_world_test,generated
BHUKAMPA CHHOTA,earthquake_occurring_report,real_world_test,generated
bhukampa sakht urgent,earthquake_occurring_report,real_world_test,generated
bhukampa suru bhayo help,earthquake_occurring_report,real_world_test,generated
trapped under debris,trapped_debris_report,real_world_test,generated
stuck under rubble,trapped_debris_report,real_world_test,generated
buried under building,trapped_debris_report,real_world_test,generated
pinned under wall,trapped_debris_report,real_world_test,generated
पर्खालमुनि थुनिएँ,trapped_debris_report,real_world_test,generated
मलाई मलिन भएको छ,trapped_debris_report,real_world_test,generated
भग्नावशेषमुनि फसेको,trapped_debris_report,real_world_test,generated
इमारतमुनि दबिएको,trapped_debris_report,real_world_test,generated
debris muni thuniyo,trapped_debris_report,real_world_test,generated
malai maline bhayo,trapped_debris_report,real_world_test,generated
bhagnaveshesh muni fasko,trapped_debris_report,real_world_test,generated
imarat muni dabieko,trapped_debris_report,real_world_test,generated
can't move,trapped_debris_report,real_world_test,generated
stuck here,trapped_debris_report,real_world_test,generated
can't get out,trapped_debris_report,real_world_test,generated
trapped inside,trapped_debris_report,real_world_test,generated
buried alive,trapped_debris_report,real_world_test,generated
बाहिर निस्कन सक्दिन,trapped_debris_report,real_world_test,generated
यहाँ फसेको,trapped_debris_report,real_world_test,generated
निस्कन सकिन,trapped_debris_report,real_world_test,generated
भित्रै फसेको,trapped_debris_report,real_world_test,generated
जीवित दबिएको,trapped_debris_report,real_world_test,generated
bahar niskna sakdina,trapped_debris_report,real_world_test,generated
yahan fasko,trapped_debris_report,real_world_test,generated
niskna sakin,trapped_debris_report,real_world_test,generated
bhitrai fasko,trapped_debris_report,real_world_test,generated
jivit dabieko,trapped_debris_report,real_world_test,generated
help i'm trapped,trapped_debris_report,real_world_test,generated
rescue me please,trapped_debris_report,real_world_test,generated
stuck under collapsed building,trapped_debris_report,real_world_test,generated
need rescue,trapped_debris_report,real_world_test,generated
malai bachau,trapped_debris_report,real_world_test,generated
malai uttaro,trapped_debris_report,real_world_test,generated
bachau malai,trapped_debris_report,real_world_test,generated
uttaro malai,trapped_debris_report,real_world_test,generated
trapped in earthquake,trapped_debris_report,real_world_test,generated
stuck after earthquake,trapped_debris_report,real_world_test,generated
buried in rubble,trapped_debris_report,real_world_test,generated
pinned by debris,trapped_debris_report,real_world_test,generated
भूकम्पमा फसेको,trapped_debris_report,real_world_test,generated
भूकम्पपछि फसेको,trapped_debris_report,real_world_test,generated
मलिनमा दबिएको,trapped_debris_report,real_world_test,generated
भग्नावशेषले थुनिएको,trapped_debris_report,real_world_test,generated
bhukampama fasko,trapped_debris_report,real_world_test,generated
bhukamppachi fasko,trapped_debris_report,real_world_test,generated
malinma dabieko,trapped_debris_report,real_world_test,generated
bhagnavesheshle thunieko,trapped_debris_report,real_world_test,generated
need immediate rescue,trapped_debris_report,real_world_test,generated
emergency extraction,trapped_debris_report,real_world_test,generated
urgent help needed,trapped_debris_report,real_world_test,generated
save me now,trapped_debris_report,real_world_test,generated
तत्काल बचाव चाहिन्छ,trapped_debris_report,real_world_test,generated
आपतकालीन निकासी,trapped_debris_report,real_world_test,generated
तत्काल सहायता,trapped_debris_report,real_world_test,generated
अहिलै बचाउ,trapped_debris_report,real_world_test,generated
tatkal bachav chaincha,trapped_debris_report,real_world_test,generated
aapatkalin nikasi,trapped_debris_report,real_world_test,generated
tatkal sahayata,trapped_debris_report,real_world_test,generated
ahilai bachau,trapped_debris_report,real_world_test,generated
family trapped,trapped_debris_report,real_world_test,generated
children stuck,trapped_debris_report,real_world_test,generated
elderly buried,trapped_debris_report,real_world_test,generated
multiple people trapped,trapped_debris_report,real_world_test,generated
परिवार फसेको,trapped_debris_report,real_world_test,generated
बच्चा फसेको,trapped_debris_report,real_world_test,generated
वृद्ध दबिएका,trapped_debris_report,real_world_test,generated
धेरै मानिस फसेका,trapped_debris_report,real_world_test,generated
trapped under debris qsafe,trapped_debris_report,real_world_test,generated
help bachau malai,trapped_debris_report,real_world_test,generated
help bahar niskna sakdina,trapped_debris_report,real_world_test,generated
stuck here nepal,trapped_debris_report,real_world_test,generated
pinned by debris nepal,trapped_debris_report,real_world_test,generated
बच्चा फसेको emergency,trapped_debris_report,real_world_test,generated
bhitrai fasko,trapped_debris_report,real_world_test,generated
qsafe need immediate rescue,trapped_debris_report,real_world_test,generated
help भित्रै फसेको,trapped_debris_report,real_world_test,generated
trapped under debris emergency,trapped_debris_report,real_world_test,generated
मलिनमा दबिएको help,trapped_debris_report,real_world_test,generated
BURIED UNDER BUILDING,trapped_debris_report,real_world_test,generated
nepal bhagnavesheshle thunieko,trapped_debris_report,real_world_test,generated
भूकम्पमा फसेको please,trapped_debris_report,real_world_test,generated
इमारतमुनि दबिएको please,trapped_debris_report,real_world_test,generated
BHAGNAVESHESH MUNI FASKO,trapped_debris_report,real_world_test,generated
multiple people trapped nepal,trapped_debris_report,real_world_test,generated
qsafe debris muni thuniyo,trapped_debris_report,real_world_test,generated
buried alive,trapped_debris_report,real_world_test,generated
help children stuck,trapped_debris_report,real_world_test,generated
please जीवित दबिएको,trapped_debris_report,real_world_test,generated
अहिलै बचाउ please,trapped_debris_report,real_world_test,generated
bhitrai fasko qsafe,trapped_debris_report,real_world_test,generated
भूकम्पमा फसेको urgent,trapped_debris_report,real_world_test,generated
need immediate rescue help,trapped_debris_report,real_world_test,generated
धेरै मानिस फसेका help,trapped_debris_report,real_world_test,generated
trapped inside please,trapped_debris_report,real_world_test,generated
RESCUE ME PLEASE,trapped_debris_report,real_world_test,generated
bhukampama fasko,trapped_debris_report,real_world_test,generated
stuck under collapsed building emergency,trapped_debris_report,real_world_test,generated
rescue me please,trapped_debris_report,real_world_test,generated
malai maline bhayo qsafe,trapped_debris_report,real_world_test,generated
इमारतमुनि दबिएको please,trapped_debris_report,real_world_test,generated
need ambulance,medical_emergency_request,real_world_test,generated
call ambulance,medical_emergency_request,real_world_test,generated
ambulance please,medical_emergency_request,real_world_test,generated
emergency medical,medical_emergency_request,real_world_test,generated
एम्बुलेन्स चाहियो,medical_emergency_request,real_world_test,generated
एम्बुलेन्स बोलाउ,medical_emergency_request,real_world_test,generated
एम्बुलेन्स कृपया,medical_emergency_request,real_world_test,generated
आपतकालीन चिकित्सा,medical_emergency_request,real_world_test,generated
ambulance chaincha,medical_emergency_request,real_world_test,generated
ambulance bolau,medical_emergency_request,real_world_test,generated
ambulance kripaya,medical_emergency_request,real_world_test,generated
aapatkalin chikitsa,medical_emergency_request,real_world_test,generated
medical emergency,medical_emergency_request,real_world_test,generated
doctor needed,medical_emergency_request,real_world_test,generated
hospital needed,medical_emergency_request,real_world_test,generated
urgent medical help,medical_emergency_request,real_world_test,generated
चिकित्सा आपतकाल,medical_emergency_request,real_world_test,generated
डाक्टर चाहिन्छ,medical_emergency_request,real_world_test,generated
अस्पताल चाहिन्छ,medical_emergency_request,real_world_test,generated
तत्काल चिकित्सा सहायता,medical_emergency_request,real_world_test,generated
chikitsa aapatkala,medical_emergency_request,real_world_test,generated
doctor chaincha,medical_emergency_request,real_world_test,generated
aspatal chaincha,medical_emergency_request,real_world_test,generated
tatkal chikitsa sahayata,medical_emergency_request,real_world_test,generated
unconscious person,medical_emergency_request,real_world_test,generated
not breathing,medical_emergency_request,real_world_test,generated
no pulse,medical_emergency_request,real_world_test,generated
person collapsed,medical_emergency_request,real_world_test,generated
बेहोश व्यक्ति,medical_emergency_request,real_world_test,generated
सास फेर्न नसक्ने,medical_emergency_request,real_world_test,generated
नाडी नभएको,medical_emergency_request,real_world_test,generated
व्यक्ति ढलेको,medical_emergency_request,real_world_test,generated
behosh vyakti,medical_emergency_request,real_world_test,generated
sas pherna nasakne,medical_emergency_request,real_world_test,generated
nadi nabhaeko,medical_emergency_request,real_world_test,generated
vyakti dhaleko,medical_emergency_request,real_world_test,generated
heart attack,medical_emergency_request,real_world_test,generated
chest pain,medical_emergency_request,real_world_test,generated
cardiac arrest,medical_emergency_request,real_world_test,generated
heart failure,medical_emergency_request,real_world_test,generated
हृदयाघात,medical_emergency_request,real_world_test,generated
छातीमा पीडा,medical_emergency_request,real_world_test,generated
हृदय रोकिएको,medical_emergency_request,real_world_test,generated
हृदय विफलता,medical_emergency_request,real_world_test,generated
hridayaghat,medical_emergency_request,real_world_test,generated
chati ma pida,medical_emergency_request,real_world_test,generated
hriday rokieko,medical_emergency_request,real_world_test,generated
hriday bipalta,medical_emergency_request,real_world_test,generated
severe bleeding,medical_emergency_request,real_world_test,generated
heavy bleeding,medical_emergency_request,real_world_test,generated
